topology,backend,op,group_size,payload_scope,payload_bytes,input_payload_bytes_per_rank,repeats,pooled_samples,median_latency_us,mean_latency_us,p95_latency_us,p99_latency_us,min_latency_us,max_latency_us,latency_cv,repeat_median_cv,intrinsic_min_median_latency_us,intrinsic_min_mean_latency_us,intrinsic_min_p95_latency_us,intrinsic_min_p99_latency_us,intrinsic_min_latency_cv,intrinsic_min_repeat_median_cv,ring_equivalent_factor,ring_equivalent_bytes,algorithmic_bandwidth_GBps,ring_equivalent_bus_bandwidth_GBps,intrinsic_min_algorithmic_bandwidth_GBps,intrinsic_min_ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,2048,512,5,500,43.5199998319149,46.709439784288406,56.683199480175965,114.24959816038607,38.40000182390213,158.36800634860992,0.24704585022540496,0.020322433057841986,34.71999987959862,37.44953599572182,47.29759879410267,56.542078964411836,0.23487554255230353,0.014208867115714003,0.75,1536.0,0.04705882371116468,0.03529411778337351,0.058986175319758555,0.044239631489818916
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,4096,1024,5,500,43.55200007557869,45.56921587139368,55.8480005711317,59.9123216420412,35.0399985909462,70.30399888753891,0.11592582847899252,0.015249176088578238,34.73600000143051,36.604671970009804,46.34239897131919,50.65951831638813,0.12725490086562716,0.008339130485250304,0.75,3072.0,0.09404849359138359,0.0705363701935377,0.11791801012872284,0.08843850759654213
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,8192,2048,5,500,42.54399985074997,59.522303499281406,55.617598816752434,174.40959408879277,38.27200084924698,3456.9919109344482,3.613800971350945,0.019289884296979552,34.19199958443642,37.30892800539732,46.179201267659664,67.86720260977656,0.4212968049546519,0.016335716222394565,0.75,6144.0,0.1925535922512841,0.14441519418846308,0.2395882106798121,0.17969115800985908
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,16384,4096,5,500,42.527999728918076,62.05695932358503,53.75999957323074,61.49440001696317,37.34400123357773,4346.911907196045,4.329985067612363,0.010835248707830158,34.4959981739521,36.24793600291014,45.32479867339133,49.891839884221554,0.11878238802425006,0.010073307979258777,0.75,12288.0,0.38525207168065445,0.28893905376049084,0.4749536429524612,0.35621523221434587
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,32768,8192,5,500,43.39199885725975,45.42214385420084,54.91520091891289,77.2214391082525,37.91999816894531,145.11999487876892,0.1718244033986609,0.016978426603274772,34.71999987959862,36.49504001066089,46.188801340758786,51.55424136668444,0.13634062023649182,0.017616600071550723,0.75,24576.0,0.7551622617753114,0.5663716963314835,0.9437788051161369,0.7078341038371027
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,49152,12288,5,500,43.407998979091644,53.812095798552036,54.66239899396896,63.32959793508053,38.40000182390213,2561.824083328247,2.68301724152725,0.011781102298442694,34.55999866127968,37.078207939863205,45.47839984297752,51.20319873094559,0.494513487486385,0.01033169126135545,0.75,36864.0,1.1323258651861625,0.8492443988896219,1.4222222773135955,1.0666667079851966
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,65536,16384,5,500,42.527999728918076,54.55353607237339,54.68959920108318,309.7414290904998,38.40000182390213,3138.5600566864014,2.6437784211081583,0.02362083170810214,34.36800092458725,40.08947200328112,45.45439966022967,63.15231993794215,1.0331409545465242,0.02295521841752469,0.75,49152.0,1.5410082867226178,1.1557562150419634,1.9068900790535888,1.4301675592901915
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,131072,32768,5,500,42.608000338077545,44.70137578994036,52.799999713897705,61.02399900555611,33.1839993596077,210.207998752594,0.23269591341692286,0.024376070856088772,34.65599939227104,36.27967996150255,44.8031984269619,50.37183959037062,0.12300926175869932,0.03282906384727529,0.75,98304.0,3.076229791588335,2.307172343691251,3.782086862260033,2.836565146695025
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,262144,65536,5,500,43.616000562906265,114.07353866100311,52.86560021340847,104.72287639975502,34.623999148607254,9124.832153320312,6.743103695592844,0.023936897441956883,35.24800017476082,37.62367997318506,45.024000108242035,53.05792164057493,0.456486256500579,0.0311846019523309,0.75,196608.0,6.010271382446364,4.507703536834773,7.4371311478745135,5.577848360905885
single-node-nvlink,nccl,all_gather,4,logical-gathered-output,524288,131072,5,500,44.60800066590309,104.4759052619338,55.016001313924754,78.98431964218548,40.16000032424927,9413.056373596191,6.661368875848064,0.00083700512880334,36.41600161790848,37.92998397350311,44.499199651181684,52.5795217230916,0.2090567197057752,0.008312456469294025,0.75,393216.0,11.753227945065664,8.814920958799249,14.39718740956361,10.797890557172707
