parallelism,parallel_size,profile_id,policy,phase,requests,calls_predicted,calls_truth,calls_abs_error,calls_ape,bytes_predicted,bytes_truth,bytes_abs_error,bytes_ape,calls_histogram_l1,calls_histogram_tv,bytes_histogram_l1,bytes_histogram_tv,log_payload_emd_log2_bytes,normalized_log_payload_emd,common_reference_cost_predicted_us,common_reference_cost_truth_us,common_reference_cost_ape,exact_histogram,comparison
pp,8,profile_03_burstgpt_1_c2,mb1,prefill,312,2000.0,2000.0,0.0,0.0,7441381743.589744,7441381743.589744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84413.81743589744,84413.81743589744,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_03_burstgpt_1_c2,mb16,decode,312,34923.07692307692,10288.461538461539,24634.615384615383,2.394392523364486,979836717.948718,979836717.948718,0.0,0.0,1.3674393072309825,0.6837196536154913,1.4875395251621202,0.7437697625810601,1.8500743684846739,0.08809877945165114,184413.75179487182,61240.67487179487,2.011295224635184,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_03_burstgpt_1_c2,mb16,prefill,312,224.35897435897436,980.7692307692308,756.4102564102565,0.7712418300653595,7441381743.589744,7441381743.589744,0.0,0.0,2.0,1.0,2.0,1.0,3.219625545001129,0.1533155021429109,75535.6123076923,79317.66358974359,0.047682333428443864,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_03_burstgpt_1_c2,mb4,decode,312,51333.333333333336,32525.641025641027,18807.69230769231,0.5782420181316515,979836717.948718,979836717.948718,0.0,0.0,1.0902832878591648,0.5451416439295824,0.8244814834664238,0.4122407417332119,0.8306443629922979,0.03955449347582371,266465.0338461539,172426.57230769232,0.54538265349642,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,8,profile_03_burstgpt_1_c2,mb4,prefill,312,512.8205128205128,1782.0512820512822,1269.2307692307695,0.7122302158273383,7441381743.589745,7441381743.589744,9.5367431640625e-07,1.281582304560275e-16,1.9030575539568346,0.9515287769784173,1.8330204790199427,0.9165102395099713,2.441714389765036,0.11627211379833505,76977.92,83324.07384615386,0.07616230884091356,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_04_burstgpt_1_c3,mb1,decode,92,123043.47826086957,123043.47826086957,0.0,0.0,1007972173.9130435,1007972173.9130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625297.1130434783,625297.1130434783,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_04_burstgpt_1_c3,mb1,prefill,92,2000.0,2000.0,0.0,0.0,5202632347.826087,5202632347.826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62026.32347826087,62026.32347826087,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_04_burstgpt_1_c3,mb16,decode,92,25282.608695652176,10826.08695652174,14456.521739130436,1.3353413654618473,1007972173.9130435,1007972173.9130435,0.0,0.0,1.33586797749899,0.667933988749495,1.4734982332155477,0.7367491166077739,1.3755014185376542,0.06550006754941211,136492.7652173913,64210.15652173913,1.1257192414907136,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_04_burstgpt_1_c3,mb16,prefill,92,217.3913043478261,1173.913043478261,956.5217391304349,0.8148148148148148,5202632347.826087,5202632347.826087,0.0,0.0,2.0,1.0,2.0,1.0,3.8620653666937894,0.18390787460446617,53113.28,57895.888695652175,0.08260705213099763,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_04_burstgpt_1_c3,mb4,decode,92,38934.78260869565,32891.30434782609,6043.4782608695605,0.183740912095175,1007972173.9130434,1007972173.9130435,1.1920928955078125e-07,1.1826644885245143e-16,0.6409841673669072,0.3204920836834536,0.4918727915194346,0.2459363957597173,0.32628208803573433,0.01553724228741592,204753.6347826087,174536.24347826088,0.17312960736496827,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,2,profile_04_burstgpt_1_c3,mb4,prefill,92,521.7391304347826,1630.4347826086957,1108.695652173913,0.6799999999999999,5202632347.826087,5202632347.826087,0.0,0.0,2.0,1.0,2.0,1.0,2.2125104489364995,0.1053576404255476,54635.01913043478,60178.49739130435,0.09211725950589433,False,phase25a_static_formula_vs_phase25b_scheduler_teacher
pp,4,profile_04_burstgpt_1_c3,mb1,decode,92,123043.47826086957,123043.47826086957,0.0,0.0,1007972173.9130435,1007972173.9130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625297.1130434783,625297.1130434783,0.0,True,phase25a_static_formula_vs_phase25b_scheduler_teacher
