model_id,configuration,topology_level,vector_id,replica0_us,replica1_us,official_us,relative_spread,above_threshold
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v03,8759.895,8751.231,8759.895,0.0009890529509772284,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v04,10091.279,10097.5,10097.5,0.0006160930923495468,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v05,7086.294,7094.492,7094.492,0.0011555443293191844,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v06,6573.519,6585.78,6585.78,0.0018617384728915197,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v07,8163.31,8173.206,8173.206,0.0012107855840168143,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v08,7649.438,7659.49,7659.49,0.0013123589168469024,False
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__third_blind_v09,7354.391,7348.907,7354.391,0.0007456769703976127,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v00,5732.139,5733.97,5733.97,0.0003193250051884002,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v01,6401.178,6402.319,6402.319,0.00017821667430200386,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v02,7391.531,7419.393,7419.393,0.0037552937282066172,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v03,8742.929,8756.588,8756.588,0.0015598541349666846,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v04,10084.07,10072.851,10084.07,0.0011125468188934767,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v05,7095.815,7088.198,7095.815,0.0010734496319308325,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v06,6584.019,6582.236,6584.019,0.0002708072379500054,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v07,8215.465,8199.904,8215.465,0.0018941106802840368,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v08,7660.733,7677.718,7677.718,0.002212245878267432,False
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__third_blind_v09,7355.118,7351.384,7355.118,0.0005076737042152659,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v00,5733.947,5732.278,5733.947,0.0002910734961449537,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v01,6413.067,6403.623,6413.067,0.001472618327549114,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v02,7403.505,7417.425,7417.425,0.0018766620491612754,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v03,8738.008,8749.161,8749.161,0.0012747508018197684,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v04,10112.441,10069.124,10112.441,0.004283535498501392,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v05,7078.157,7092.326,7092.326,0.0019977931076490094,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v06,6587.834,6577.822,6587.834,0.0015197711417743248,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v07,8202.204,8199.987,8202.204,0.0002702932041193505,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v08,7661.816,7655.224,7661.816,0.0008603704395928647,False
deepseek-v2-lite,P1D4,L3,deepseek-v2-lite__p1d4__third_blind_v09,7356.93,7347.0,7356.93,0.0013497477888195608,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v00,5753.578,5714.476,5753.578,0.0067961188672510855,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v01,6417.214,6380.589,6417.214,0.005707305382055204,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v02,7419.775,7381.334,7419.775,0.0051808848651070695,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v03,8754.218,8729.551,8754.218,0.0028177274086618907,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v04,10099.899,10068.037,10099.899,0.003154685012196575,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v05,7065.298,7054.634,7065.298,0.001509348933335828,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v06,6548.331,6560.09,6560.09,0.001792505895498387,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v07,8141.836,8130.194,8141.836,0.0014298986125487942,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v08,7627.152,7621.725,7627.152,0.0007115368882119669,False
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__third_blind_v09,7327.239,7307.327,7327.239,0.0027175311191568003,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v00,5716.916,5709.937,5716.916,0.0012207630827530559,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v01,6377.128,6383.757,6383.757,0.0010384167191827486,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v02,7366.525,7384.526,7384.526,0.0024376649225691946,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v03,8707.283,8719.292,8719.292,0.0013772907249808833,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v04,10053.57,10059.463,10059.463,0.0005858165589952495,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v05,7045.686,7049.997,7049.997,0.0006114896219105631,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v06,6526.244,6542.746,6542.746,0.0025221825820535304,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v07,8054.785,8042.093,8054.785,0.001575709345438768,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v08,7566.623,7555.116,7566.623,0.0015207576748570144,False
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__third_blind_v09,7225.124,7292.635,7292.635,0.009257422042924186,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v00,5709.648,5724.26,5724.26,0.0025526443592709066,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v01,6378.548,6375.393,6378.548,0.0004946266767922332,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v02,7375.874,7393.268,7393.268,0.0023526808442491513,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v03,8700.661,8698.873,8700.661,0.00020550162797981276,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v04,10041.081,10084.137,10084.137,0.004269676225144551,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v05,7020.164,6965.289,7020.164,0.007816768952976028,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v06,6504.543,6529.998,6529.998,0.0038981635216427217,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v07,8098.004,7992.84,8098.004,0.012986409984485036,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v08,7612.759,7645.074,7645.074,0.004226904801706249,False
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v09,7260.215,7270.46,7270.46,0.0014091267952784131,False
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v00,1639.868,1626.165,1639.868,0.008356160373883736,False
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v01,1837.859,1825.68,1837.859,0.006626732518653423,False
