model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,phase67_prediction_us,phase69_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase67_absolute_error_us,phase69_absolute_error_us,phase69_signed_error_us,cross_replica_relative_spread
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v07,38|44|52|60,4,386187264,1875.62816433|2157.18077283|2542.69219993|2933.15924965,2933.1592496458893,9508.660386731992,9508.660386731992,8344.178570503009,7717.707809545662,8132.822410437235,8131.337702996788,2878.42,8098.004,5164.84475035411,246.1745705030089,380.2961904543381,34.81841043723489,33.333702996787906,33.333702996787906,0.012986409984485036
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v08,34|44|44|60,4,362299392,1662.01884933|2157.18077283|2157.18077283|2933.15924965,2933.1592496458893,8909.539644634628,8909.539644634628,7834.865096222657,7206.9037817750805,7592.495327193077,7615.7707080617565,2898.242,7645.074,4711.91475035411,189.79109622265696,438.17021822491915,52.57867280692244,29.303291938243092,-29.303291938243092,0.004226904801706249
deepseek-v2-lite,P4D1,L3,deepseek-v2-lite__p4d1__third_blind_v09,38|38|38|60,4,346374144,1875.62816433|1875.62816433|1875.62816433|2933.15924965,2933.1592496458893,8560.043742622245,8560.043742622245,7537.75808657794,6908.927260694752,7250.359923211308,7290.142029619405,2894.077,7270.46,4337.30075035411,267.29808657794,361.53273930524847,20.100076788691695,19.682029619404602,19.682029619404602,0.0014091267952784131
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v00,34|34,2,135364608,1654.31663419|1654.31663419,1654.3166341926171,3308.6332683852343,1654.3166341926171,1505.5726324827956,1561.7363786696353,1645.220745402048,1645.220745402048,1637.344,1639.868,14.448634192617192,134.29536751720434,78.13162133036462,5.352745402047958,5.352745402047958,5.352745402047958,0.008356160373883736
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v01,38|38,2,151289856,1861.15198571|1861.15198571,1861.1519857081416,3722.3039714162833,1861.1519857081416,1707.5428868536078,1757.8071707612185,1840.6163604740764,1840.6163604740764,1850.639,1837.859,23.292985708141714,130.31611314639213,80.05182923878147,2.7573604740764495,2.7573604740764495,2.7573604740764495,0.006626732518653423
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v02,44|44,2,175177728,2133.77601782|2133.77601782,2133.7760178192984,4267.552035638597,2133.7760178192984,1973.7543671911649,2016.242730870118,2123.6669966218547,2123.6669966218547,2134.429,2120.073,13.703017819298566,146.318632808835,103.8302691298818,3.593996621854785,3.593996621854785,3.593996621854785,0.004070142867721963
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v03,52|52,2,207028224,2510.40622553|2510.40622553,2510.406225533826,5020.812451067652,2510.406225533826,2341.525632105351,2373.2715589264385,2504.7955740697785,2504.7955740697785,2496.021,2512.192,1.785774466174189,170.66636789464883,138.9204410735615,7.39642593022154,7.39642593022154,-7.39642593022154,0.014528746210480647
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v04,60|60,2,238878720,2894.46939945|2894.46939945,2894.469399449747,5788.938798899494,2894.469399449747,2716.555028008391,2737.346511158432,2888.096428306483,2888.096428306483,2890.575,2893.132,1.337399449746954,176.57697199160884,155.78548884156817,5.035571693516886,5.035571693516886,-5.035571693516886,0.0008464874744740541
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v05,34|38,2,143327232,1654.31663419|1861.15198571,1861.1519857081416,3515.4686199007588,1861.1519857081416,1707.5428868536078,1755.0975483856096,1832.0201228822684,1832.0201228822684,1811.953,1818.397,42.7549857081417,110.85411314639214,63.299451614390364,13.62312288226849,13.62312288226849,13.62312288226849,0.0035652280552596312
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v06,34|44,2,155271168,1654.31663419|2133.77601782,2133.7760178192984,3788.0926520119156,2133.7760178192984,1973.7543671911649,2009.9616291892337,2106.5664182752867,2106.5664182752867,2097.165,2094.902,38.87401781929839,121.14763280883517,84.94037081076635,11.664418275286607,11.664418275286607,11.664418275286607,0.00636163410030647
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v07,38|52,2,179159040,1861.15198571|2510.40622553,2510.406225533826,4371.558211241967,2510.406225533826,2341.525632105351,2364.76607955456,2482.7832979561554,2482.7832979561554,2453.599,2444.96,65.44622553382578,103.43436789464886,80.1939204454402,37.82329795615533,37.82329795615533,37.82329795615533,0.0014949119822001997
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v08,44|60,2,207028224,2133.77601782|2894.46939945,2894.469399449747,5028.245417269045,2894.469399449747,2716.555028008391,2727.3811363192635,2859.675267766416,2859.675267766416,2808.797,2832.626,61.84339944974681,116.07097199160899,105.24486368073667,27.049267766415596,27.049267766415596,27.049267766415596,0.010913195035278222
deepseek-v2-lite,P2D2_MATCHING,L1,deepseek-v2-lite__p2d2_matching__third_blind_v09,52|60,2,222953472,2510.40622553|2894.46939945,2894.469399449747,5404.875624983573,2894.469399449747,2716.555028008391,2732.3151363858665,2873.183203125279,2873.183203125279,2854.952,2871.518,22.951399449746987,154.9629719916088,139.20286361413355,1.665203125278822,1.665203125278822,1.665203125278822,0.02219592563933079
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v00,34|34,2,135364608,1665.11402721|1665.11402721,1665.1140272143596,3330.228054428719,1665.1140272143596,1516.1160536105872,1571.9718311045556,1648.1369416224018,1648.1369416224018,1620.194,1632.994,32.12002721435965,116.87794638941273,61.02216889544434,15.14294162240185,15.14294162240185,15.14294162240185,0.00766567421558181
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v01,38|38,2,151289856,1875.78637614|1875.78637614,1875.7863761434548,3751.5727522869097,1875.7863761434548,1721.833053099972,1771.6799275380695,1844.5688658602107,1844.5688658602107,1829.919,1831.359,44.42737614345492,109.52594690002798,59.679072461930446,13.209865860210812,13.209865860210812,13.209865860210812,0.003088416853276692
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v02,44|44,2,175177728,2153.46784983|2153.46784983,2153.467849830353,4306.935699660706,2153.467849830353,1992.9830159262985,2034.9097192347838,2128.9854328376014,2128.9854328376014,2127.169,2112.849,40.6188498303527,119.86598407370161,77.93928076521638,16.136432837601205,16.136432837601205,16.136432837601205,0.002535439115620648
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v03,52|52,2,207028224,2536.01101877|2536.01101877,2536.0110187701553,5072.0220375403105,2536.0110187701553,2366.5281597930098,2397.543773779476,2511.7110027393073,2511.7110027393073,2485.238,2496.511,39.50001877015529,129.9828402069902,98.96722622052403,15.200002739307365,15.200002739307365,15.200002739307365,0.004590005812111316
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v04,60|60,2,238878720,2925.27902059|2925.27902059,2925.279020587492,5850.558041174984,2925.279020587492,2746.6399577491934,2766.552673336496,2896.4175944001418,2896.4175944001418,2872.044,2888.017,37.262020587492316,141.37704225080643,121.46432666350393,8.400594400141927,8.400594400141927,8.400594400141927,0.00172402032259499
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v05,34|38,2,143327232,1665.11402721|1875.78637614,1875.7863761434548,3540.9004033578144,1875.7863761434548,1721.833053099972,1768.9200390257931,1835.489997699493,1835.489997699493,1827.053,1810.135,65.65137614345485,88.30194690002804,41.21496097420686,25.35499769949297,25.35499769949297,25.35499769949297,0.005138290790465867
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v06,34|44,2,155271168,1665.11402721|2153.46784983,2153.467849830353,3818.581877044712,2153.467849830353,1992.9830159262985,2028.5120969942982,2110.7660817406622,2110.7660817406622,2116.174,2087.004,66.46384983035296,94.02098407370136,58.491903005701715,23.762081740662325,23.762081740662325,23.762081740662325,0.0070512562505869155
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v07,38|52,2,179159040,1875.78637614|2536.01101877,2536.0110187701553,4411.79739491361,2536.0110187701553,2366.5281597930098,2388.8945779264386,2488.3188320950553,2488.3188320950553,2479.097,2490.467,45.54401877015516,123.93884020699033,101.57242207356148,2.148167904944785,2.148167904944785,-2.148167904944785,0.024759613357655415
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v08,44|60,2,207028224,2153.46784983|2925.27902059,2925.279020587492,5078.746870417845,2925.279020587492,2746.6399577491934,2756.4416511988156,2866.598000576733,2866.598000576733,2881.058,2860.886,64.39302058749217,114.24604225080657,104.44434880118433,5.712000576732862,5.712000576732862,5.712000576732862,0.0038844609676861744
deepseek-v2-lite,P2D2_MATCHING,L2,deepseek-v2-lite__p2d2_matching__third_blind_v09,52|60,2,222953472,2536.01101877|2925.27902059,2925.279020587492,5461.290039357647,2925.279020587492,2746.6399577491934,2761.4531133236437,2880.849688284764,2880.849688284764,2826.523,2860.123,65.1560205874921,113.48304225080665,98.66988667635633,20.726688284763895,20.726688284763895,20.726688284763895,0.011583767551255612
