workload_id,phase,group_size,batch_size,input_len,output_len,repeat_count,calls,logical_payload_bytes,message_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,rank0_median_us,rank0_iqr_fraction,intrinsic_median_us,intrinsic_iqr_fraction,post_rendezvous_median_us,post_rendezvous_iqr_fraction,sync_inclusive_median_us,sync_inclusive_iqr_fraction,post_rendezvous_over_intrinsic,sync_inclusive_over_intrinsic
decode-tp4-b8-l2048-m512,decode,4,8,2048,512,3,37303,2444689408,65536,3667034112.0,223818,11240719.05075,0.17396238716881965,173424.45750000002,0.06640037420904142,296470.1049194336,0.009644095396728395,11644049.242875,0.1099630628630746,1.7095057363488282,67.1419095710592
decode-tp4-b8-l8192-m32,decode,4,8,8192,32,3,2263,148307968,65536,222461952.0,13578,634835.534375,0.08266951985315128,10878.179,0.01049132396148292,17414.094848632812,0.005206532639838846,710881.15775,0.0381302693206739,1.6008281210148143,65.34927930033143
decode-tp4-b8-l8192-m128,decode,4,8,8192,128,3,9271,607584256,65536,911376384.0,55626,2254734.1716249995,0.17929249477606896,44462.954,0.02084963810546629,73578.23754882812,0.031002282723069072,2803203.2613750002,0.041545991011324016,1.654821169750173,63.04581700475862
decode-tp4-b8-l8192-m512,decode,4,8,8192,512,3,37303,2444689408,65536,3667034112.0,223818,10823666.975625,0.2854592179303066,188196.509375,0.040885340211959255,289763.6041870117,0.021149054079610305,11236773.36425,0.05898087311888546,1.5396863903019016,59.70766089959526
decode-tp4-b16-l128-m32,decode,4,16,128,32,3,2263,296615936,131072,444923904.0,13578,663245.713,0.08624148534451213,14825.3005,0.024913327220584907,19833.387145996094,0.02449752033553817,688271.063625,0.0880548939262405,1.33780675447328,46.425437624350344
decode-tp4-b16-l128-m128,decode,4,16,128,128,3,9271,1215168512,131072,1822752768.0,55626,2718789.568125,0.1905928878057164,61072.125125,0.15843657876151226,82201.55615234375,0.0162390114221613,2739083.882375,0.10601768277107605,1.3459750415446796,44.849984780597566
decode-tp4-b16-l128-m512,decode,4,16,128,512,3,37303,4889378816,131072,7334068224.0,223818,11610437.579125,0.12329979589433232,244920.256,0.1085481362247963,332605.70196533203,0.010309201496482017,11658062.45975,0.10308783508402737,1.3580163086442798,47.59942133879691
decode-tp4-b16-l2048-m32,decode,4,16,2048,32,3,2263,296615936,131072,444923904.0,13578,641985.8161249999,0.15344323176731928,14920.4705,0.027546303750944114,20242.544006347656,0.1546348365674438,663437.913,0.11601154172357343,1.356696091208897,44.46494586078904
decode-tp4-b16-l2048-m128,decode,4,16,2048,128,3,9271,1215168512,131072,1822752768.0,55626,2766049.6971250004,0.24913341188925803,61199.029875,0.0008311161157928318,81120.1337890625,0.003442047958096292,2796754.8522499995,0.1045765222601483,1.3255133938356813,45.69933310973092
decode-tp4-b16-l2048-m512,decode,4,16,2048,512,3,37303,4889378816,131072,7334068224.0,223818,10532001.525500001,0.2734032398569462,246274.597625,0.0036984145798377994,319271.51501464844,0.015058687961587554,11269221.992000002,0.06851240430444971,1.2964045747860693,45.75876724874215
decode-tp4-b16-l8192-m32,decode,4,16,8192,32,3,2263,296615936,131072,444923904.0,13578,676594.4098750001,0.05010829042138202,15220.244375000002,0.037132698797419976,19983.766662597656,0.023744565646030204,678651.941875,0.03882398297528628,1.312972786128321,44.588767772330854
decode-tp4-b16-l8192-m128,decode,4,16,8192,128,3,9271,1215168512,131072,1822752768.0,55626,2644765.7924999995,0.06686679941622836,62280.64124999999,0.00619317443203116,81511.47424316406,0.020753551240240472,2772269.331625,0.06540006018056134,1.3087770550718931,44.51253673668622
decode-tp4-b16-l8192-m512,decode,4,16,8192,512,3,37303,4889378816,131072,7334068224.0,223818,11330433.53225,0.0285922649894992,251952.638,0.0014366971025720242,326008.7368774414,0.015153795265240208,11380116.784750002,0.03214115760900208,1.2939286505007397,45.16768260529188
decode-tp8-b1-l128-m32,decode,8,1,128,32,3,2263,18538496,8192,32442368.0,31682,794333.130625,0.2297486118719575,12867.6815,0.14554586815037354,17001.634399414062,0.044743901323423,1029429.527875,0.1527993156556317,1.321266336862166,80.00116632316397
decode-tp8-b1-l128-m128,decode,8,1,128,128,3,9271,75948032,8192,132909056.0,129794,2921013.573125,0.09438442555063123,40844.13662500001,0.1048656377982627,67987.79583740234,0.025342148938981714,3145504.2182500004,0.01715723841646125,1.6645668498667239,77.01238116818682
decode-tp8-b1-l128-m512,decode,8,1,128,512,3,37303,305586176,8192,534775808.0,522242,11742820.88,0.09243080583270365,156936.212125,0.1731669276295142,271465.3815917969,0.04032494888493561,12382963.99375,0.01567486122248023,1.7297816604339487,78.90444038426865
decode-tp8-b1-l2048-m32,decode,8,1,2048,32,3,2263,18538496,8192,32442368.0,31682,746943.1167499999,0.029850993502712517,11423.957250000001,0.04474583446117158,17499.698669433594,0.02362433779769708,785626.881375,0.01704019308322245,1.5318421004624814,68.77011741049714
