parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,evidence_set
tp,h0,decode,source,burstgpt,243,0.21871025126409285,0.16537976204677968,0.02679836411740243,0.012127575613830847,0.4286240049828927,0.21431200249144636,0.02035048257838296,0.20808003597601013,0.15750748375080284,new_confirmation_repeated
tp,h0,total,overall,all,243,0.21597103241200058,0.16412130401536001,0.027349840151032305,0.026316162747407387,0.42811989251075505,0.21405994625537753,0.021415156143602124,0.1428983900387617,0.11377719822293207,new_confirmation_repeated
tp,h0,total,model,deepseek-v2-lite,81,0.21597103241200058,0.16412130401536001,0.02734984015103233,0.026316162747407414,0.40647609845829197,0.20323804922914598,0.01892740167554759,0.15361888467906343,0.1227152222828631,new_confirmation_repeated
tp,h0,total,model,qwen3-30b-a3b,81,0.21597103241200058,0.16412130401536004,0.02734984015103228,0.026316162747407376,0.40647609845829197,0.20323804922914598,0.018927401675547583,0.15361888467906346,0.12271522228286316,new_confirmation_repeated
tp,h0,total,model,qwen3-8b,81,0.21597103241200055,0.16412130401536,0.02734984015103231,0.02631616274740739,0.4714074806156813,0.23570374030784064,0.026390665079711204,0.12145740075815824,0.09918348469106605,new_confirmation_repeated
tp,h0,total,policy,balanced,81,0.24541848892208193,0.18478791099245429,0.02734984015103233,0.026316162747407418,0.4160260857833416,0.2080130428916708,0.02078850250176724,0.16490371788725078,0.12236991409134308,new_confirmation_repeated
tp,h0,total,policy,latency,81,0.17076812672726588,0.13384065083043406,0.02734984015103228,0.026316162747407352,0.31559267341795627,0.15779633670897814,0.015872952230418562,0.1316760143790226,0.1054956183297941,new_confirmation_repeated
tp,h0,total,policy,throughput,81,0.2317264815866539,0.22721094965403596,0.0273498401510323,0.02631616274740739,0.5527409183309674,0.2763704591654837,0.02758401369862058,0.13211543785001176,0.119598392545164,new_confirmation_repeated
tp,h0,total,parallel_size,2,81,0.21597103241200058,0.16412130401536001,0.0273498401510323,0.026316162747407387,0.42811989251075505,0.21405994625537753,0.021415156143602124,0.1428983900387617,0.1137771982229321,new_confirmation_repeated
tp,h0,total,parallel_size,4,81,0.21597103241200058,0.16412130401536001,0.0273498401510323,0.026316162747407387,0.42811989251075505,0.21405994625537753,0.021415156143602124,0.1428983900387617,0.1137771982229321,new_confirmation_repeated
tp,h0,total,parallel_size,8,81,0.21597103241200058,0.16412130401536001,0.0273498401510323,0.026316162747407387,0.42811989251075505,0.21405994625537753,0.021415156143602124,0.1428983900387617,0.1137771982229321,new_confirmation_repeated
tp,h0,total,source,burstgpt,243,0.21597103241200058,0.16412130401536001,0.027349840151032305,0.026316162747407387,0.42811989251075505,0.21405994625537753,0.021415156143602124,0.1428983900387617,0.11377719822293207,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,overall,all,243,0.041380129257241584,0.03415468482579297,0.02889904633846372,0.02855738582227546,0.2894585576409173,0.14472927882045866,0.013750400837592462,0.028591511209863557,0.02847313876012366,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,model,deepseek-v2-lite,81,0.04108707500351046,0.033803963672686774,0.028899000451250722,0.028557337845560894,0.2871126953766286,0.1435563476883143,0.013849560912849753,0.028518253654074788,0.028439063080546414,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,model,qwen3-30b-a3b,81,0.04181519660180456,0.03449730453990195,0.028899050442170966,0.02855735768887188,0.2869347661923179,0.14346738309615895,0.013841044060056089,0.028552519980214672,0.028455260940075826,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,model,qwen3-8b,81,0.041238116166409725,0.033963664978563804,0.028899088121969476,0.028557422587066207,0.2943282113538055,0.14716410567690275,0.013560597539871544,0.02870375999530122,0.028498192477617097,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,policy,balanced,81,0.024731775823665623,0.02508869985658239,0.028899069992328642,0.02855739792088763,0.29025095367501236,0.14512547683750618,0.013354499433262947,0.028625915810417756,0.028444368398117356,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,policy,latency,81,0.025583630200054372,0.026102821619187953,0.028899018235306058,0.02855736902223423,0.2666238105998074,0.1333119052999037,0.011635861489200138,0.02823451300073707,0.028311609061522466,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,policy,throughput,81,0.07382498174800475,0.08116165708099432,0.028899050787756456,0.028557390523704526,0.31150090864793234,0.15575045432396617,0.016260841590314302,0.028914104818435846,0.028667852270579726,new_confirmation_repeated
tp,h0_plus_dnn_residual,prefill,parallel_size,2,81,0.04138013090103039,0.03415468877493718,0.02889904633846372,0.028557385822275464,0.28938841141400456,0.14469420570700228,0.013747491072761816,0.028591511237637052,0.028473138834127235,new_confirmation_repeated
