configuration,topology_level,slice_type,slice_value,cases,h0_cost_mape,dnn_cost_mape,cost_mape_ratio,h0_cost_wape,dnn_cost_wape,cost_wape_ratio,h0_signed_bias,dnn_signed_bias,strict_mape_and_wape_improvement
P1D4,L3,model,qwen3-8b,300,0.02338235873894376,0.016109334282779275,0.6889524903212128,0.022451195945848493,0.015520269377884118,0.6912892041617057,-0.010318054862097121,0.0028510482990583143,True
P1D4,L3,overall,all,600,0.03390435325739423,0.030044157966588814,0.8861445531345288,0.02763144775105188,0.02518452876595736,0.9114444162629384,-0.004665690799164321,0.0037152299589623557,True
P1D4,L3,segment,burstgpt_1,200,0.03436755013436925,0.028690654635797674,0.8348181503663714,0.024566228236740817,0.021849460063742984,0.8894104480827593,-0.0016590725149756914,0.0030749208850461753,True
P1D4,L3,segment,burstgpt_2,200,0.035009798537677814,0.02866313458702861,0.8187174957942452,0.032612460747222814,0.026308593838549256,0.8067037333510512,-0.009895229826138087,0.003361970664234262,True
P1D4,L3,segment,burstgpt_3,200,0.032335711100135625,0.03277868467694016,1.0136992062872145,0.02820802464989424,0.028271731479975717,1.0022584647763244,-0.005034388217312499,0.004633839209285302,False
P2D1,L1,model,deepseek-v2-lite,300,0.04681039859278581,0.04642658260742014,0.9918006255681656,0.030782138604521673,0.029933676086937998,0.972436531181786,-0.0015680728862600077,0.0050207732991962295,True
P2D1,L1,model,llama-3.2-3b-instruct,300,0.022848268283931217,0.019550903481661927,0.8556842574984876,0.021902182527591418,0.018568685595401414,0.8478006962095851,-0.00912382852986543,0.008282871337539535,True
P2D1,L1,model,mixtral-8x7b-instruct-v0.1,300,0.022392569347436532,0.016285464903615012,0.7272709375567635,0.021479781585507028,0.01565335411774861,0.7287482908257474,-0.00863966308573683,0.0033587177042613977,True
P2D1,L1,model,qwen2.5-14b-instruct,300,0.02151365296325798,0.015765020202012706,0.7327914152439357,0.02074218332963525,0.015193703025045066,0.732502590666874,-0.010634989947500315,0.00258819210398057,True
P2D1,L1,model,qwen3-30b-a3b,300,0.018261458777599958,0.017011568714597306,0.9315558478528668,0.017647618710686725,0.016257921153608218,0.9212529701677564,-0.010033485213463643,0.0009512998659437458,True
