method,configuration,slice_type,slice_value,cases,agreement_rate,mean_teacher_regret,max_teacher_regret,predicted_choice_wave_stability_rate,teacher_choice_wave_stability_rate
h0_plus_dnn_residual,P2D2_MATCHING,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D2_MATCHING,overall,all,600,0.99,1.5464993640110912e-06,0.0003608813926529781,0.9833333333333333,0.9866666666666667
h0_plus_dnn_residual,P2D2_MATCHING,segment,burstgpt_1,200,0.975,4.366651238756358e-06,0.0003608813926529781,0.97,0.97
h0_plus_dnn_residual,P2D2_MATCHING,segment,burstgpt_2,200,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P2D2_MATCHING,segment,burstgpt_3,200,0.995,2.728468532769157e-07,5.456937065538314e-05,0.98,0.99
h0_plus_dnn_residual,P4D1,model,deepseek-v2-lite,300,0.98,1.6850923098030337e-06,0.00019640949701241634,0.8266666666666667,0.8366666666666667
h0_plus_dnn_residual,P4D1,model,qwen3-8b,300,1.0,0.0,0.0,1.0,1.0
h0_plus_dnn_residual,P4D1,overall,all,600,0.99,8.425461549015169e-07,0.00019640949701241634,0.9133333333333333,0.9183333333333333
h0_plus_dnn_residual,P4D1,segment,burstgpt_1,200,0.975,2.378646691656109e-06,0.00019640949701241634,0.88,0.88
h0_plus_dnn_residual,P4D1,segment,burstgpt_2,200,1.0,0.0,0.0,0.98,0.99
h0_plus_dnn_residual,P4D1,segment,burstgpt_3,200,0.995,1.4899177304844172e-07,2.9798354609688342e-05,0.88,0.885
