candidate_id,oof_scheme,slice_type,slice_value,points,wape,signed_bias
r61_graph,tail32,configuration,P2D2_MATCHING,18,0.13803702439460222,-0.1380370243946023
r61_graph,tail32,configuration,P4D1,24,0.08509664244126719,0.07795026570067577
r61_graph,tail32,configuration_topology,P1D4/L1,8,0.07328730979045237,0.06261094674999126
r61_graph,tail32,configuration_topology,P1D4/L2,8,0.06537281421193859,0.06044778705335371
r61_graph,tail32,configuration_topology,P1D4/L3,8,0.06893086935204033,0.061494297051931254
r61_graph,tail32,configuration_topology,P2D2_ALL_TO_ALL/L1,8,0.044666556779446746,-0.04406435695073601
r61_graph,tail32,configuration_topology,P2D2_ALL_TO_ALL/L2,8,0.0761368103905914,-0.07613681039059132
r61_graph,tail32,configuration_topology,P2D2_ALL_TO_ALL/L3,8,0.041479387845409624,-0.041479387845409575
r61_graph,tail32,configuration_topology,P2D2_MATCHING/L1,6,0.12953521759560543,-0.12953521759560555
r61_graph,tail32,configuration_topology,P2D2_MATCHING/L2,6,0.13957997660235627,-0.13957997660235616
r61_graph,tail32,configuration_topology,P2D2_MATCHING/L3,6,0.14484265040077368,-0.14484265040077374
r61_graph,tail32,configuration_topology,P4D1/L1,8,0.08435159450140631,0.07255169084889247
r61_graph,tail32,configuration_topology,P4D1/L2,8,0.08481761588257286,0.08100097944297563
r61_graph,tail32,configuration_topology,P4D1/L3,8,0.08612782495815265,0.08035657044152737
r61_graph,tail32,model,deepseek-v2-lite,45,0.05152964682960645,0.008549176010948647
r61_graph,tail32,model,qwen3-8b,45,0.37616549911601976,0.1064582754928335
r61_graph,tail32,overall,all,90,0.07896609998208307,0.01682391954964425
r65_frozen,payload_cohort,configuration,P1D4,120,0.04341551902348758,-0.026349758347542745
r65_frozen,payload_cohort,configuration,P2D2_ALL_TO_ALL,120,0.04730838520517917,-0.03524310966182833
r65_frozen,payload_cohort,configuration,P2D2_MATCHING,120,0.03796425869381352,-0.024339426144358547
r65_frozen,payload_cohort,configuration,P4D1,120,0.04686868502677993,-0.03095669984580311
r65_frozen,payload_cohort,configuration_topology,P1D4/L1,40,0.044229700935214986,-0.021250580164324274
r65_frozen,payload_cohort,configuration_topology,P1D4/L2,40,0.04346275892103533,-0.030868976173743682
r65_frozen,payload_cohort,configuration_topology,P1D4/L3,40,0.04255228746167146,-0.026945395933438955
r65_frozen,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.04367366872791981,-0.02773210182645288
r65_frozen,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.05741144456817678,-0.05164091166294893
r65_frozen,payload_cohort,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.04064732131115909,-0.02605822008642719
r65_frozen,payload_cohort,configuration_topology,P2D2_MATCHING/L1,40,0.03553685063036292,-0.015315594376484193
r65_frozen,payload_cohort,configuration_topology,P2D2_MATCHING/L2,40,0.03903219700969998,-0.028034888206066314
r65_frozen,payload_cohort,configuration_topology,P2D2_MATCHING/L3,40,0.039306315804897136,-0.029601649696576523
r65_frozen,payload_cohort,configuration_topology,P4D1/L1,40,0.049032574986662344,-0.03240380742715564
r65_frozen,payload_cohort,configuration_topology,P4D1/L2,40,0.046206860312095845,-0.03223303610080953
r65_frozen,payload_cohort,configuration_topology,P4D1/L3,40,0.04533014232333779,-0.02821277364075704
r65_frozen,payload_cohort,model,deepseek-v2-lite,240,0.039045754254099216,-0.027095952267923645
r65_frozen,payload_cohort,model,qwen3-8b,240,0.09322573510402561,-0.05069982984670335
r65_frozen,payload_cohort,overall,all,480,0.044652523475487246,-0.02953857945674997
r65_frozen,topology,configuration,P1D4,120,0.04341551902348758,-0.026349758347542745
r65_frozen,topology,configuration,P2D2_ALL_TO_ALL,120,0.04730838520517917,-0.03524310966182833
r65_frozen,topology,configuration,P2D2_MATCHING,120,0.03796425869381352,-0.024339426144358547
r65_frozen,topology,configuration,P4D1,120,0.04686868502677993,-0.03095669984580311
r65_frozen,topology,configuration_topology,P1D4/L1,40,0.044229700935214986,-0.021250580164324274
r65_frozen,topology,configuration_topology,P1D4/L2,40,0.04346275892103533,-0.030868976173743682
r65_frozen,topology,configuration_topology,P1D4/L3,40,0.04255228746167146,-0.026945395933438955
r65_frozen,topology,configuration_topology,P2D2_ALL_TO_ALL/L1,40,0.04367366872791981,-0.02773210182645288
r65_frozen,topology,configuration_topology,P2D2_ALL_TO_ALL/L2,40,0.05741144456817678,-0.05164091166294893
r65_frozen,topology,configuration_topology,P2D2_ALL_TO_ALL/L3,40,0.04064732131115909,-0.02605822008642719
r65_frozen,topology,configuration_topology,P2D2_MATCHING/L1,40,0.03553685063036292,-0.015315594376484193
r65_frozen,topology,configuration_topology,P2D2_MATCHING/L2,40,0.03903219700969998,-0.028034888206066314
r65_frozen,topology,configuration_topology,P2D2_MATCHING/L3,40,0.039306315804897136,-0.029601649696576523
r65_frozen,topology,configuration_topology,P4D1/L1,40,0.049032574986662344,-0.03240380742715564
r65_frozen,topology,configuration_topology,P4D1/L2,40,0.046206860312095845,-0.03223303610080953
r65_frozen,topology,configuration_topology,P4D1/L3,40,0.04533014232333779,-0.02821277364075704
r65_frozen,topology,model,deepseek-v2-lite,240,0.039045754254099216,-0.027095952267923645
r65_frozen,topology,model,qwen3-8b,240,0.09322573510402561,-0.05069982984670335
