profile_id,source,sample_label,sample_requests,pp_size,microbatch,prefill_proxy_calls_per_1000,decode_proxy_calls_per_1000,total_logical_bytes_per_1000
profile_03_burstgpt_1_c2,burstgpt,h128,128,2,4,1828.125,31453.125,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,2,16,1187.5,10000.0,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,4,1,2000.0,120218.75,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,4,4,1765.625,33031.25,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,4,16,828.125,10875.0,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,8,1,2000.0,120218.75,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,8,4,1593.75,35390.625,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,h128,128,8,16,312.5,15875.0,8535552000.0
profile_03_burstgpt_1_c2,burstgpt,hfull,312,2,1,2000.0,119608.97435897436,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,2,4,1916.6666666666667,30923.076923076922,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,2,16,1544.871794871795,8538.461538461539,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,4,1,2000.0,119608.97435897436,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,4,4,1807.6923076923078,31455.128205128207,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,4,16,1346.1538461538462,9237.179487179488,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,8,1,2000.0,119608.97435897436,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,8,4,1782.0512820512822,32525.641025641027,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,hfull,312,8,16,980.7692307692308,10288.461538461539,8421218461.538462
profile_03_burstgpt_1_c2,burstgpt,compact32,32,2,1,2000.0,123125.0,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,2,4,1062.5,33937.5,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,2,16,312.5,12875.0,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,4,1,2000.0,123125.0,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,4,4,1000.0,40375.0,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,4,16,250.0,25750.0,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,8,1,2000.0,123125.0,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,8,4,625.0,51500.0,8682496000.0
profile_03_burstgpt_1_c2,burstgpt,compact32,32,8,16,250.0,25750.0,8682496000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,2,1,2000.0,122125.0,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,2,4,1312.5,33250.0,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,2,16,187.5,15875.0,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,4,1,2000.0,122125.0,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,4,4,1125.0,36312.5,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,4,16,187.5,23812.5,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,8,1,2000.0,122125.0,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,8,4,500.0,36000.0,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h32,32,8,16,187.5,23812.5,6059008000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,2,1,2000.0,124937.5,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,2,4,1562.5,32437.5,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,2,16,812.5,9656.25,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,4,1,2000.0,124937.5,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,4,4,1343.75,32843.75,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,4,16,218.75,15875.0,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,8,1,2000.0,124937.5,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,8,4,1187.5,35906.25,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h64,64,8,16,218.75,24218.75,6258688000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,2,1,2000.0,122000.0,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,2,4,1609.375,32375.0,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,2,16,1078.125,8312.5,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,4,1,2000.0,122000.0,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,4,4,1453.125,32671.875,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,4,16,718.75,9562.5,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,8,1,2000.0,122000.0,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,8,4,1375.0,32593.75,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,h128,128,8,16,234.375,14265.625,6029824000.0
profile_04_burstgpt_1_c3,burstgpt,hfull,92,2,1,2000.0,123043.47826086957,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,hfull,92,2,4,1630.4347826086957,32891.30434782609,6210604521.739131
profile_04_burstgpt_1_c3,burstgpt,hfull,92,2,16,1173.913043478261,10826.08695652174,6210604521.739131
