topology,backend,op,algorithm,group_size,repeat_id,payload_scope,payload_bytes,intrinsic_median_latency_us,intrinsic_p95_latency_us,completion_median_latency_us,completion_p95_latency_us,rank_skew_median_us,rank_skew_p95_us,ring_equivalent_factor,ring_equivalent_bus_bandwidth_GBps
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,2,representative-rank-logical-input,4194304,15.11999999999989,15.391999999999825,18.288000000000466,22.047999999998957,3.3440000000005057,7.026550000000042,1.0,277.40105820106015
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,3,representative-rank-logical-input,4194304,14.943999999999505,15.392050000000268,17.616499999999633,23.132799999999406,2.5760000000004766,8.342399999997996,1.0,280.66809421842476
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PUSH,2,4,representative-rank-logical-input,4194304,15.07200000000006,15.425599999999985,17.488000000000284,20.0032,2.464500000000953,4.995199999999966,1.0,278.28450106157
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,0,representative-rank-logical-input,8388608,23.29549999999972,23.58559999999984,25.279999999999745,28.43739999999984,1.9679999999998472,5.035800000000015,1.0,360.0956407889979
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,1,representative-rank-logical-input,8388608,23.295000000000073,23.585600000000703,25.168499999999767,26.977599999999665,1.6159999999995307,3.692850000000271,1.0,360.10336982184907
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,2,representative-rank-logical-input,8388608,23.35900000000015,23.584000000000742,25.408000000000357,29.699199999998925,2.0955000000003565,6.5087999999975175,1.0,359.1167430112567
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,3,representative-rank-logical-input,8388608,23.296000000000276,23.55204999999969,25.824000000000296,30.440000000000644,2.400000000000773,6.864000000001669,1.0,360.08791208790785
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,4,representative-rank-logical-input,8388608,23.2800000000002,23.584049999998978,24.89599999999973,26.951999999999497,1.6160000000004402,3.660799999999289,1.0,360.3353951890003
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,0,representative-rank-logical-input,16777216,37.50300000000061,37.826499999999825,39.19999999999936,43.01594999999881,1.6959999999990032,5.603149999999332,1.0,447.35663813560853
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,1,representative-rank-logical-input,16777216,37.53600000000006,37.85504999999957,39.23199999999997,41.37920000000022,1.5999999999994543,3.8431500000001506,1.0,446.9633418584819
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,2,representative-rank-logical-input,16777216,37.53600000000006,37.824000000000524,39.58399999999938,42.785549999999695,2.048499999998967,5.092149999999947,1.0,446.9633418584819
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,3,representative-rank-logical-input,16777216,37.600000000000364,37.952650000000816,40.1279999999997,43.27264999999907,2.3674999999998363,5.773699999999939,1.0,446.20255319148504
single-node-nvlink,sglang_custom_all_reduce_v2,all_reduce,ONE_SHOT_PULL,2,4,representative-rank-logical-input,16777216,37.567499999999654,37.826499999999804,39.470999999999776,41.15105000000007,1.9675000000002,3.6160000000000307,1.0,446.5885672456286
