workload_id,model,tp,mode,case_label,phase,batch_size,input_len,output_len,output_lens_json,prefill_chunk_size,repeat_count,calls,logical_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,payload_supports,op_payload_supports,calls_by_payload_json,calls_by_op_payload_json,raw_ops_json,backend_signature,target_post_us,post_repeat_iqr_fraction,intrinsic_us,sync_inclusive_us,continuous_raw_us,curve_min_payload_bytes,curve_max_payload_bytes,curve_extrapolated_calls,curve_extrapolated_call_fraction,pred_total_bytes_tp2_fit_us,pred_continuous_tp2_calibrated_us,pred_continuous_per_tp_calibrated_us
qwen3-30b-a3b-chunk-c1024-b1-l1023-m8,qwen3-30b-a3b,8,chunked_prefill,c1024,prefill,1,1023,8,[8],1024,3,97,406450176,711287808.0,1358,1,2,"{""4190208"":97}","{""all_reduce:4190208"":2,""fused_allreduce_residual_rmsnorm:4190208"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_two_shot,1485.7451171875,0.006987793503759359,1279.8290000000002,82102.28499999999,4141.563583576228,8192,134217728,0,0.0,1385.40281532189,3971.869484659962,3195.5414003561277
qwen3-30b-a3b-chunk-c1024-b1-l1024-m8,qwen3-30b-a3b,8,chunked_prefill,c1024,prefill,1,1024,8,[8],1024,3,97,406847488,711983104.0,1358,1,2,"{""4194304"":97}","{""all_reduce:4194304"":2,""fused_allreduce_residual_rmsnorm:4194304"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_two_shot,1472.5576171875,0.0014579888971343572,1270.4289999999999,65098.450999999994,4142.239499999963,8192,134217728,0,0.0,1386.5431673617386,3972.5177064639834,3196.062922933686
qwen3-30b-a3b-chunk-c1024-b1-l1025-m8,qwen3-30b-a3b,8,chunked_prefill,c1024,prefill,1,1025,8,[8],1024,3,194,407244800,712678400.0,2716,2,4,"{""4096"":97,""4194304"":97}","{""all_reduce:4096"":2,""all_reduce:4194304"":2,""fused_allreduce_residual_rmsnorm:4096"":95,""fused_allreduce_residual_rmsnorm:4194304"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,2317.28564453125,0.01641240330136051,2016.8600000000001,134959.38199999998,7056.89550000003,8192,134217728,97,0.5,1387.6833435917415,6767.750229414878,5444.948815385463
qwen3-30b-a3b-chunk-c1024-b4-l1023-m8,qwen3-30b-a3b,8,chunked_prefill,c1024,prefill,4,1023,8,"[8,8,8,8]",1024,3,97,1625800704,2845151232.0,1358,1,1,"{""16760832"":97}","{""all_reduce:16760832"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,5812.40673828125,0.004346507911879298,5418.825000000001,65655.5,7565.990598097529,8192,134217728,0,0.0,4452.260107312034,7255.985951049601,5837.755645429143
qwen3-30b-a3b-chunk-c1024-b4-l1024-m8,qwen3-30b-a3b,8,chunked_prefill,c1024,prefill,4,1024,8,"[8,8,8,8]",1024,3,97,1627389952,2847932416.0,1358,1,1,"{""16777216"":97}","{""all_reduce:16777216"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,5833.5234375,0.0007332768842801106,5421.485000000001,66812.941,7569.055499999917,8192,134217728,0,0.0,4455.924849326791,7258.925273383766,5840.120457828969
qwen3-30b-a3b-chunk-c1024-b4-l1025-m8,qwen3-30b-a3b,8,chunked_prefill,c1024,prefill,4,1025,8,"[8,8,8,8]",1024,3,194,1628979200,2850713600.0,2716,2,3,"{""16384"":97,""16777216"":97}","{""all_reduce:16384"":2,""all_reduce:16777216"":97,""fused_allreduce_residual_rmsnorm:16384"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,6566.15234375,0.008542381174762855,6087.458,134078.99200000003,10409.215500000068,8192,134217728,0,0.0,4459.589026342593,9982.714153575616,8031.526838652652
qwen3-30b-a3b-chunk-c4096-b1-l4095-m8,qwen3-30b-a3b,8,chunked_prefill,c4096,prefill,1,4095,8,[8],4096,3,97,1626992640,2847237120.0,1358,1,1,"{""16773120"":97}","{""all_reduce:16773120"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,5821.3916015625,0.0016521265772033876,5449.614,81095.031,7568.289555215852,8192,134217728,0,0.0,4455.008716816718,7258.190711990859,5839.529471304562
qwen3-30b-a3b-chunk-c4096-b1-l4096-m8,qwen3-30b-a3b,8,chunked_prefill,c4096,prefill,1,4096,8,[8],4096,3,97,1627389952,2847932416.0,1358,1,1,"{""16777216"":97}","{""all_reduce:16777216"":97}","[""all_reduce""]",sglang_custom:all_reduce_two_shot,5821.072265625,0.0010256630929720918,5450.379,65508.404,7569.055499999917,8192,134217728,0,0.0,4455.924849326791,7258.925273383766,5840.120457828969
qwen3-30b-a3b-chunk-c4096-b1-l4097-m8,qwen3-30b-a3b,8,chunked_prefill,c4096,prefill,1,4097,8,[8],4096,3,194,1627787264,2848627712.0,2716,2,3,"{""4096"":97,""16777216"":97}","{""all_reduce:4096"":2,""all_reduce:16777216"":97,""fused_allreduce_residual_rmsnorm:4096"":95}","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push+sglang_custom:all_reduce_two_shot,6545.4384765625,0.0017438566845439983,6172.32,128448.376,10483.711499999983,8192,134217728,97,0.5,4456.840946524444,10054.15779633466,8089.006350280746
qwen3-30b-a3b-chunk-c4096-b4-l4095-m8,qwen3-30b-a3b,8,chunked_prefill,c4096,prefill,4,4095,8,"[8,8,8,8]",4096,3,97,6507970560,11388948480.0,1358,1,1,"{""67092480"":97}","{""all_reduce:67092480"":97}","[""all_reduce""]",nccl:all_reduce,24895.88916015625,0.004944222699605217,24834.665000000005,48774.365999999995,27357.772853483122,8192,134217728,0,0.0,14317.032845154014,26236.830842321495,21108.66922858031
