pp_size,max_microbatch,profile_id,source,segment,rps,interarrival_cv,repeat,phase,histogram_changed,profiled_boundary_calls,draining_boundary_calls,calls_delta_fraction,profiled_boundary_bytes,draining_boundary_bytes,bytes_delta_fraction,calls_distribution_tvd,profiled_pipeline_calls,draining_pipeline_calls,profiled_pipeline_bytes,draining_pipeline_bytes
2,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,1,decode,1,998,508,0.9645669291338582,37273600,37273600,0.0,0.5675445378946871,998,508,37273600,37273600
2,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,prefill,1,98,78,0.2564102564102564,2398896128,2398896128,0.0,0.3129251700680272,98,78,2398896128,2398896128
2,16,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,2,decode,1,866,508,0.7047244094488189,37273600,37273600,0.0,0.5433434562019239,866,508,37273600,37273600
4,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,192,192,283262976,283262976
4,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,0,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,2124,2124,17399808,17399808
4,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,192,192,283262976,283262976
4,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,1,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,2124,2124,17399808,17399808
4,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,prefill,0,64,64,0.0,94420992,94420992,0.0,0.0,192,192,283262976,283262976
4,1,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,8.11,3.042307467111731,2,decode,0,708,708,0.0,5799936,5799936,0.0,0.0,2124,2124,17399808,17399808
4,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,192,192,186482688,186482688
4,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,0,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,3678,3678,30130176,30130176
4,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,192,192,186482688,186482688
4,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,1,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,3678,3678,30130176,30130176
4,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,prefill,0,64,64,0.0,62160896,62160896,0.0,0.0,192,192,186482688,186482688
4,1,profile_10_burstgpt_2_c4,burstgpt,burstgpt_2,0.9533333333333334,0.5395302964568772,2,decode,0,1226,1226,0.0,10043392,10043392,0.0,0.0,3678,3678,30130176,30130176
4,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,prefill,0,100,100,0.0,2398896128,2398896128,0.0,0.0,300,300,7196688384,7196688384
4,1,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,3.9566666666666666,1.0037757940773826,0,decode,1,3500,3572,-0.020156774916013438,37273600,37273600,0.0,0.0353165893457047,10500,10716,111820800,111820800
