model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase65_signed_error_us,cross_replica_relative_spread
deepseek-v2-lite,P4D1,L1,deepseek-v2-lite__p4d1__blind_v09,6|6|6|32,4,99532800,358.956|358.956|358.956|1541.579,1541.579,2618.447,2618.447,2310.9339280935155,1971.5941484316477,1544.608,2097.982,556.403,212.95192809351556,126.38785156835229,-126.38785156835229,0.0013231762712930045
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v00,3|3|3|3,4,23887872,198.799|198.799|198.799|198.799,198.799,795.196,795.196,591.2891099003467,541.0160961553463,172.4115,524.5,325.701,66.78910990034672,16.516096155346304,16.516096155346304,0.00010772163965686977
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v01,6|6|6|6,4,47775744,352.5455|352.5455|352.5455|352.5455,352.5455,1410.182,1410.182,1133.5196631783997,1051.1595452668403,310.301,1030.22,677.6745000000001,103.29966317839967,20.93954526684024,20.93954526684024,0.01790297218069934
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v02,12|12|12|12,4,95551488,662.789|662.789|662.789|662.789,662.789,2651.156,2651.156,2227.681186568653,2080.5728272239694,593.126,2044.889,1382.1,182.79218656865328,35.6838272239695,35.6838272239695,0.010180503685041087
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v03,24|24|24|24,4,191102976,1170.2465|1170.2465|1170.2465|1170.2465,1170.2465,4680.986,4680.986,4017.3737063339654,3764.3582748764093,1138.719,4053.193,2882.9465,35.81929366603481,288.83472512359094,-288.83472512359094,0.0035660774110683052
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v04,32|32|32|32,4,254803968,1550.285|1550.285|1550.285|1550.285,1550.285,6201.14,6201.14,5357.687054097729,5025.357069549189,1542.4,5384.464,3834.179,26.77694590227111,359.106930450811,-359.106930450811,0.002004284920467547
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v05,3|6|12|24,4,89579520,198.799|352.5455|662.789|1170.2465,1170.2465,2384.38,2384.38,2065.0253753142206,1806.2962139714318,1131.529,1870.351,700.1045000000001,194.67437531422047,64.05478602856829,-64.05478602856829,0.019931552954499034
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v06,3|3|12|12,4,59719680,198.799|198.799|662.789|662.789,662.789,1723.176,1723.176,1438.8039458840506,1289.3868635547105,601.6055,1254.46,591.671,184.34394588405053,34.92686355471051,34.92686355471051,0.003882945649921157
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v07,6|12|24|32,4,147308544,352.5455|662.789|1170.2465|1550.285,1550.285,3735.866,3735.866,3261.953794058187,2923.4904502268246,1496.072,3087.056,1536.771,174.89779405818717,163.56554977317546,-163.56554977317546,0.01847909464551334
deepseek-v2-lite,P4D1,L2,deepseek-v2-lite__p4d1__blind_v08,3|12|12|32,4,117448704,198.799|662.789|662.789|1550.285,1550.285,3074.6620000000003,3074.6620000000003,2699.8632457170356,2359.7548913549,1491.911,2429.873,879.588,269.9902457170356,70.11810864510016,-70.11810864510016,0.00027943847271033807
