timestamp, index, pstate, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/08/12 04:50:12.379, 7, P0, 0 MiB, 0 %, 243.08 W
2026/08/12 04:50:13.379, 0, P0, 159037 MiB, 88 %, 285.53 W
2026/08/12 04:50:13.379, 1, P0, 159037 MiB, 19 %, 281.46 W
2026/08/12 04:50:13.379, 2, P0, 0 MiB, 0 %, 236.09 W
2026/08/12 04:50:13.379, 3, P0, 0 MiB, 0 %, 238.49 W
2026/08/12 04:50:13.379, 4, P0, 0 MiB, 0 %, 235.56 W
2026/08/12 04:50:13.379, 5, P0, 0 MiB, 0 %, 244.31 W
2026/08/12 04:50:13.379, 6, P0, 0 MiB, 0 %, 242.43 W
2026/08/12 04:50:13.379, 7, P0, 0 MiB, 0 %, 243.22 W
2026/08/12 04:50:14.379, 0, P0, 159037 MiB, 72 %, 286.87 W
2026/08/12 04:50:14.379, 1, P0, 159037 MiB, 30 %, 283.03 W
2026/08/12 04:50:14.379, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:50:14.379, 3, P0, 0 MiB, 0 %, 238.51 W
2026/08/12 04:50:14.379, 4, P0, 0 MiB, 0 %, 235.55 W
2026/08/12 04:50:14.379, 5, P0, 0 MiB, 0 %, 244.29 W
2026/08/12 04:50:14.379, 6, P0, 0 MiB, 0 %, 242.43 W
2026/08/12 04:50:14.379, 7, P0, 0 MiB, 0 %, 243.30 W
2026/08/12 04:50:15.379, 0, P0, 159037 MiB, 89 %, 299.60 W
2026/08/12 04:50:15.380, 1, P0, 159037 MiB, 16 %, 291.30 W
2026/08/12 04:50:15.380, 2, P0, 0 MiB, 0 %, 236.07 W
2026/08/12 04:50:15.380, 3, P0, 0 MiB, 0 %, 238.49 W
2026/08/12 04:50:15.380, 4, P0, 0 MiB, 0 %, 235.56 W
2026/08/12 04:50:15.380, 5, P0, 0 MiB, 0 %, 244.43 W
2026/08/12 04:50:15.380, 6, P0, 0 MiB, 0 %, 242.42 W
2026/08/12 04:50:15.380, 7, P0, 0 MiB, 0 %, 243.25 W
2026/08/12 04:50:16.380, 0, P0, 159037 MiB, 66 %, 288.61 W
2026/08/12 04:50:16.380, 1, P0, 159037 MiB, 17 %, 281.50 W
2026/08/12 04:50:16.380, 2, P0, 0 MiB, 0 %, 236.12 W
2026/08/12 04:50:16.380, 3, P0, 0 MiB, 0 %, 238.48 W
2026/08/12 04:50:16.380, 4, P0, 0 MiB, 0 %, 235.54 W
2026/08/12 04:50:16.380, 5, P0, 0 MiB, 0 %, 244.41 W
2026/08/12 04:50:16.380, 6, P0, 0 MiB, 0 %, 242.38 W
2026/08/12 04:50:16.380, 7, P0, 0 MiB, 0 %, 243.23 W
2026/08/12 04:50:17.380, 0, P0, 159037 MiB, 61 %, 289.21 W
2026/08/12 04:50:17.380, 1, P0, 159037 MiB, 17 %, 282.23 W
2026/08/12 04:50:17.380, 2, P0, 0 MiB, 0 %, 236.06 W
2026/08/12 04:50:17.380, 3, P0, 0 MiB, 0 %, 238.54 W
2026/08/12 04:50:17.380, 4, P0, 0 MiB, 0 %, 235.52 W
2026/08/12 04:50:17.380, 5, P0, 0 MiB, 0 %, 244.35 W
2026/08/12 04:50:17.380, 6, P0, 0 MiB, 0 %, 242.37 W
2026/08/12 04:50:17.380, 7, P0, 0 MiB, 0 %, 243.19 W
2026/08/12 04:50:18.380, 0, P0, 159037 MiB, 69 %, 309.39 W
2026/08/12 04:50:18.380, 1, P0, 159037 MiB, 16 %, 303.64 W
2026/08/12 04:50:18.380, 2, P0, 0 MiB, 0 %, 236.04 W
2026/08/12 04:50:18.380, 3, P0, 0 MiB, 0 %, 238.67 W
2026/08/12 04:50:18.380, 4, P0, 0 MiB, 0 %, 235.54 W
2026/08/12 04:50:18.380, 5, P0, 0 MiB, 0 %, 244.35 W
