model_id,configuration,topology_level,vector_id,replica_id,measurement_id,repeat_count,concurrent_wave_us,matched_solo_max_us,concurrent_repeat_cv
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v01,0,qwen3-8b__p4d1__l3__r0,5,534.5595000000001,186.72,0.0274189133482014
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v01,1,qwen3-8b__p4d1__l3__r1,5,517.2325000000001,187.445,0.07469829616491144
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v02,0,qwen3-8b__p4d1__l3__r0,5,642.5425,233.719,0.03943105999153406
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v02,1,qwen3-8b__p4d1__l3__r1,5,633.759,236.385,0.02106195673476518
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v03,0,qwen3-8b__p4d1__l3__r0,5,736.6795,255.9595,0.046442033676433604
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v03,1,qwen3-8b__p4d1__l3__r1,5,737.7049999999999,257.8335,0.036570257603687414
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v04,0,qwen3-8b__p4d1__l3__r0,5,838.038,280.1155,0.04486429437306278
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v04,1,qwen3-8b__p4d1__l3__r1,5,821.9385,280.50800000000004,0.0249160949842656
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v05,0,qwen3-8b__p4d1__l3__r0,5,501.86800000000005,239.535,0.10667009475218898
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v05,1,qwen3-8b__p4d1__l3__r1,5,580.5625,254.3475,0.07355535011271425
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v06,0,qwen3-8b__p4d1__l3__r0,5,551.309,229.996,0.06827945560867277
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v06,1,qwen3-8b__p4d1__l3__r1,5,563.966,227.761,0.07179370065326326
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v07,0,qwen3-8b__p4d1__l3__r0,5,681.526,263.107,0.04770383555981907
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v07,1,qwen3-8b__p4d1__l3__r1,5,673.154,277.709,0.04188296162548731
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v08,0,qwen3-8b__p4d1__l3__r0,5,641.5015,262.769,0.037525649394820185
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v08,1,qwen3-8b__p4d1__l3__r1,5,638.406,277.923,0.08079137007618033
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v09,0,qwen3-8b__p4d1__l3__r0,5,593.208,263.671,0.060335582951200506
qwen3-8b,P4D1,L3,qwen3-8b__p4d1__second_blind_v09,1,qwen3-8b__p4d1__l3__r1,5,549.548,277.483,0.0326590723180245
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v00,0,qwen3-8b__p2d2_matching__l1__r0,5,176.503,176.56799999999998,0.09973512389088694
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v00,1,qwen3-8b__p2d2_matching__l1__r1,5,175.22250000000003,177.272,0.06375668679225617
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v01,0,qwen3-8b__p2d2_matching__l1__r0,5,187.6805,187.4105,0.07814211187571307
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v01,1,qwen3-8b__p2d2_matching__l1__r1,5,187.5515,188.4305,0.06069640744879834
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v02,0,qwen3-8b__p2d2_matching__l1__r0,5,233.1575,233.9645,0.06993659730286136
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v02,1,qwen3-8b__p2d2_matching__l1__r1,5,233.6075,235.4055,0.0567995996717399
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v03,0,qwen3-8b__p2d2_matching__l1__r0,5,257.798,256.1875,0.06417600417761572
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v03,1,qwen3-8b__p2d2_matching__l1__r1,5,256.80100000000004,258.7425,0.05099152851767054
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v04,0,qwen3-8b__p2d2_matching__l1__r0,5,280.807,279.2505,0.05936466466304735
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v04,1,qwen3-8b__p2d2_matching__l1__r1,5,279.6825,281.84349999999995,0.0455409493477228
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v05,0,qwen3-8b__p2d2_matching__l1__r0,5,187.747,185.6485,0.05428396044042631
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v05,1,qwen3-8b__p2d2_matching__l1__r1,5,186.418,180.26749999999998,0.04328045925602758
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v06,0,qwen3-8b__p2d2_matching__l1__r0,5,229.4035,229.1875,0.04351888492730793
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v06,1,qwen3-8b__p2d2_matching__l1__r1,5,227.731,229.575,0.04234250989487789
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v07,0,qwen3-8b__p2d2_matching__l1__r0,5,253.3415,253.272,0.04051916377315251
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v07,1,qwen3-8b__p2d2_matching__l1__r1,5,252.76299999999998,252.603,0.04167383321255437
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v08,0,qwen3-8b__p2d2_matching__l1__r0,5,277.09450000000004,276.712,0.03647634819131811
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v08,1,qwen3-8b__p2d2_matching__l1__r1,5,276.10450000000003,276.3175,0.03207617324582108
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v09,0,qwen3-8b__p2d2_matching__l1__r0,5,279.194,277.33799999999997,0.04200153005980933
qwen3-8b,P2D2_MATCHING,L1,qwen3-8b__p2d2_matching__second_blind_v09,1,qwen3-8b__p2d2_matching__l1__r1,5,276.515,276.04449999999997,0.029627760301869848
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v00,0,qwen3-8b__p2d2_matching__l2__r0,5,174.947,175.55149999999998,0.05449235410448816
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v00,1,qwen3-8b__p2d2_matching__l2__r1,5,171.6055,173.2715,0.036579986092965644
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v01,0,qwen3-8b__p2d2_matching__l2__r0,5,186.59449999999998,186.1105,0.056627386632105856
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v01,1,qwen3-8b__p2d2_matching__l2__r1,5,183.3555,182.7465,0.028369233275512603
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v02,0,qwen3-8b__p2d2_matching__l2__r0,5,231.805,231.4915,0.054386806864078985
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v02,1,qwen3-8b__p2d2_matching__l2__r1,5,227.3725,230.622,0.04340597439968011
qwen3-8b,P2D2_MATCHING,L2,qwen3-8b__p2d2_matching__second_blind_v03,0,qwen3-8b__p2d2_matching__l2__r0,5,255.60449999999997,254.89100000000002,0.046116158216322
