model_id,configuration,topology_level,vector_id,pages,flow_count,total_payload_bytes,edge_costs_us,max_edge_baseline_us,sum_edge_baseline_us,busiest_endpoint_sum_us,r61_graph_prediction_us,phase65_prediction_us,phase67_prediction_us,matched_solo_max_us,actual_concurrent_wave_us,max_edge_absolute_error_us,r61_graph_absolute_error_us,phase65_absolute_error_us,phase67_absolute_error_us,phase67_signed_error_us,cross_replica_relative_spread
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v07,40|48|56|64,4,414056448,1956.53706995|2295.5825|2709.30192925|3067.682,3067.682,10029.103499198549,10029.103499198549,8803.608631154635,8217.0070520471,8753.553548946022,2999.709,8795.345,5727.663,8.263631154635732,578.3379479528994,41.79145105397765,-41.79145105397765,0.0025035970732243725
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v08,36|48|48|64,4,390168576,1760.60850303|2295.5825|2295.5825|3067.682,3067.682,9419.455503031484,9419.455503031484,8285.34592182343,7722.65872212602,8226.761914318102,2938.993,8242.655,5174.973000000001,42.69092182342865,519.996277873981,15.89308568189881,-15.89308568189881,0.001651045688555493
deepseek-v2-lite,P1D4,L1,deepseek-v2-lite__p1d4__second_blind_v09,40|40|40|64,4,366280704,1956.53706995|1956.53706995|1956.53706995|3067.682,3067.682,8937.293209855268,8937.293209855266,7875.459006800461,7331.685363923982,7693.065300226225,2937.149,7771.784,4704.102,103.67500680046123,440.098636076018,78.71869977377446,-78.71869977377446,0.0014243833848186865
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v00,36|36|36|36,4,286654464,1773.37771384|1773.37771384|1773.37771384|1773.37771384,1773.3777138437054,7093.510855374821,7093.510855374821,6144.486660331202,5747.064822632992,6093.253567166131,1747.217,6068.318,4294.940286156295,76.16866033120186,321.253177367008,24.935567166130568,24.935567166130568,0.0011283192476071065
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v01,40|40|40|40,4,318504960,1972.94094669|1972.94094669|1972.94094669|1972.94094669,1972.9409466903257,7891.763786761303,7891.763786761303,6848.3028913373055,6408.1545101067,6776.196655553434,1919.112,6730.662,4757.721053309675,117.64089133730522,322.50748989329986,45.53465555343337,45.53465555343337,0.0013503872278833704
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v02,48|48|48|48,4,382205952,2318.276|2318.276|2318.276|2318.276,2318.276,9273.104,9273.104,8066.224710841558,7552.139998864906,8122.144857439179,2308.255,8076.073,5757.7970000000005,9.84828915844264,523.933001135094,46.07185743917853,46.07185743917853,0.006526563095702669
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v03,56|56|56|56,4,445906944,2737.60215901|2737.60215901|2737.60215901|2737.60215901,2737.602159011447,10950.408636045788,10950.408636045788,9545.097109268434,8941.234550282034,9497.25756382438,2685.672,9411.337,6673.734840988553,133.76010926843446,470.102449717966,85.92056382438022,85.92056382438022,0.0013647370187678054
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v04,64|64|64|64,4,509607936,3100.839|3100.839|3100.839|3100.839,3100.839,12403.356,12403.356,10826.154650482025,10144.522983039682,10851.439959360263,3073.077,10741.932,7641.093000000001,84.22265048202462,597.4090169603187,109.50795936026225,109.50795936026225,0.0004218049416064874
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v05,36|40|48|56,4,358318080,1773.37771384|1972.94094669|2318.276|2737.60215901,2737.602159011447,8802.196819545477,8802.196819545477,7718.898904342872,7199.303254714156,7576.824172337152,2645.685,7595.357,4857.754840988553,123.54190434287193,396.05374528584434,18.53282766284792,-18.53282766284792,0.000488587962356508
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v06,36|36|48|48,4,334430208,1773.37771384|1773.37771384|2318.276|2318.276,2318.276,8183.30742768741,8183.30742768741,7139.786950465803,6668.451183575482,7088.799774374999,2302.452,7078.323,4760.0470000000005,61.463950465802554,409.87181642451833,10.476774374998968,10.476774374998968,0.001341419429432634
deepseek-v2-lite,P1D4,L2,deepseek-v2-lite__p1d4__second_blind_v07,40|48|56|64,4,414056448,1972.94094669|2318.276|2737.60215901|3100.839,3100.839,10129.658105701772,10129.658105701772,8893.280535733456,8300.838161867254,8761.501332925582,3004.977,8774.944,5674.105,118.33653573345691,474.1058381327457,13.442667074417841,-13.442667074417841,0.0012788685603007555
