model_id,topology_level,page_count,payload_bytes,replica_0_us,replica_1_us,official_latency_us,relative_spread,above_threshold
qwen3-30b-a3b,L1,4096,402653184,9786.668,9821.092,9821.092,0.00350510920781527,False
qwen3-30b-a3b,L2,1,98304,103.85249999999999,103.6805,103.85249999999999,0.001656195084374445,False
qwen3-30b-a3b,L2,2,196608,116.9735,117.327,117.327,0.003012946721555966,False
qwen3-30b-a3b,L2,3,294912,117.8845,118.44200000000001,118.44200000000001,0.004706945171476373,False
qwen3-30b-a3b,L2,4,393216,120.887,119.66499999999999,120.887,0.010108613829444096,False
qwen3-30b-a3b,L2,6,589824,121.257,120.423,121.257,0.006877953437739703,False
qwen3-30b-a3b,L2,8,786432,123.2985,124.001,124.001,0.005665276892928287,False
qwen3-30b-a3b,L2,12,1179648,130.59199999999998,131.507,131.507,0.006957804527515801,False
qwen3-30b-a3b,L2,16,1572864,137.6535,138.399,138.399,0.005386599614159009,False
qwen3-30b-a3b,L2,24,2359296,152.297,153.35649999999998,153.35649999999998,0.0069087387883786195,False
qwen3-30b-a3b,L2,32,3145728,165.9125,165.6105,165.9125,0.0018202365704813833,False
qwen3-30b-a3b,L2,48,4718592,191.2285,191.565,191.565,0.0017565839271265675,False
qwen3-30b-a3b,L2,64,6291456,221.5045,221.6575,221.6575,0.000690254108252559,False
qwen3-30b-a3b,L2,96,9437184,325.2155,323.743,325.2155,0.004527766972976457,False
qwen3-30b-a3b,L2,128,12582912,390.51599999999996,387.067,390.51599999999996,0.008831904454618903,False
qwen3-30b-a3b,L2,192,18874368,561.072,559.981,561.072,0.0019444919725097817,False
qwen3-30b-a3b,L2,256,25165824,717.699,715.995,717.699,0.002374254387981523,False
qwen3-30b-a3b,L2,384,37748736,985.455,992.54,992.54,0.007138251355109037,False
qwen3-30b-a3b,L2,512,50331648,1249.427,1249.911,1249.911,0.0003872275706031477,False
qwen3-30b-a3b,L2,768,75497472,1821.9225000000001,1820.9595,1821.9225000000001,0.0005285625486266254,False
qwen3-30b-a3b,L2,1024,100663296,2403.791,2402.285,2403.791,0.0006265103746541661,False
qwen3-30b-a3b,L2,1536,150994944,3619.9030000000002,3676.068,3676.068,0.015278553062674564,False
qwen3-30b-a3b,L2,2048,201326592,4894.311,4902.3225,4902.3225,0.0016342254105070654,False
qwen3-30b-a3b,L2,3072,301989888,7367.235,7296.029,7367.235,0.009665227184961416,False
qwen3-30b-a3b,L2,4096,402653184,9834.775,9881.635,9881.635,0.004742130224401182,False
qwen3-30b-a3b,L3,1,98304,105.197,104.6385,105.197,0.005309086761029395,False
