model,tp,profile_id,source,segment,split,strategy,batch_count,request_count,input_tokens,actual_output_tokens,prefill_wall_us_per_1000,decode_wall_us_per_1000,total_wall_us_per_1000,arrival_span_ms
deepseek-v2-lite,4,profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,balanced,4,32,14597,1819,6982240.156503394,784500621.2592125,791482861.4157159,290000.0
deepseek-v2-lite,4,profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,latency,8,32,14597,1819,13866884.808521718,1560281370.3007996,1574148255.1093214,290000.0
deepseek-v2-lite,4,profile_13_burstgpt_3_c2,burstgpt,burstgpt_3,temporal_test,throughput,2,32,14597,1819,3574295.84255442,391319332.99358934,394893628.83614373,290000.0
deepseek-v2-lite,4,profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,balanced,4,32,18930,1461,6939112.121472135,711926939.7517201,718866051.8731922,296000.0
deepseek-v2-lite,4,profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,latency,8,32,18930,1461,13568622.467573732,1181740854.139207,1195309476.6067808,296000.0
deepseek-v2-lite,4,profile_14_burstgpt_3_c3,burstgpt,burstgpt_3,temporal_test,throughput,2,32,18930,1461,3694935.905514285,391573367.5530646,395268303.4585789,296000.0
deepseek-v2-lite,4,profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,balanced,4,32,6097,322,7016232.528258115,295537919.679191,302554152.2074491,284000.0
deepseek-v2-lite,4,profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,latency,8,32,6097,322,13206195.289967582,309594991.9370469,322801187.2270144,284000.0
deepseek-v2-lite,4,profile_15_burstgpt_3_c4,burstgpt,burstgpt_3,temporal_test,throughput,2,32,6097,322,3553292.714059353,289806374.84346515,293359667.5575245,284000.0
deepseek-v2-lite,4,profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,balanced,6,32,163424,3519,18897896.89448662,1177588215.3597195,1196486112.2542062,294000.0
deepseek-v2-lite,4,profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,latency,27,32,163424,3519,46318728.53497043,4739172550.529474,4785491279.064445,294000.0
deepseek-v2-lite,4,profile_16_mooncake_conversation_c0,mooncake,mooncake_conversation,external_test,throughput,3,32,163424,3519,17865881.993202493,588930362.6026958,606796244.5958983,294000.0
deepseek-v2-lite,4,profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,balanced,6,32,172375,3497,20074670.668691397,1179115384.7007082,1199190055.3693995,299999.0
deepseek-v2-lite,4,profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,latency,25,32,172375,3497,42678334.72113125,4292288672.499126,4334967007.220257,299999.0
deepseek-v2-lite,4,profile_17_mooncake_conversation_c1,mooncake,mooncake_conversation,external_test,throughput,3,32,172375,3497,18779107.42769018,584788917.6511672,603568025.0788573,299999.0
deepseek-v2-lite,4,profile_18_mooncake_conversation_c2,mooncake,mooncake_conversation,external_test,balanced,7,32,186555,3432,21193403.692450374,1353582175.1574986,1374775578.849949,297000.0
deepseek-v2-lite,4,profile_18_mooncake_conversation_c2,mooncake,mooncake_conversation,external_test,latency,27,32,186555,3432,45994209.79502611,4368128036.032431,4414122245.827456,297000.0
deepseek-v2-lite,4,profile_18_mooncake_conversation_c2,mooncake,mooncake_conversation,external_test,throughput,3,32,186555,3432,20149465.912254527,586464419.3788991,606613885.2911536,297000.0
deepseek-v2-lite,4,profile_19_mooncake_conversation_c3,mooncake,mooncake_conversation,external_test,balanced,7,32,175061,3483,20470394.4909852,1373565683.9853618,1394036078.476347,297000.0
deepseek-v2-lite,4,profile_19_mooncake_conversation_c3,mooncake,mooncake_conversation,external_test,latency,26,32,175061,3483,44437648.8449052,4427758643.374545,4472196292.219451,297000.0
deepseek-v2-lite,4,profile_19_mooncake_conversation_c3,mooncake,mooncake_conversation,external_test,throughput,3,32,175061,3483,18986624.81107749,589461177.5001976,608447802.3112751,297000.0
deepseek-v2-lite,4,profile_20_mooncake_toolagent_c0,mooncake,mooncake_toolagent,external_test,balanced,6,32,167738,2058,18762774.212518707,1176619659.9055548,1195382434.1180735,294000.0
deepseek-v2-lite,4,profile_20_mooncake_toolagent_c0,mooncake,mooncake_toolagent,external_test,latency,26,32,167738,2058,44582298.57846163,2768739606.777672,2813321905.3561335,294000.0
deepseek-v2-lite,4,profile_20_mooncake_toolagent_c0,mooncake,mooncake_toolagent,external_test,throughput,3,32,167738,2058,18177984.04954374,589537224.3830934,607715208.4326372,294000.0
deepseek-v2-lite,4,profile_21_mooncake_toolagent_c1,mooncake,mooncake_toolagent,external_test,balanced,7,32,197503,2057,22217581.39785379,1385366079.3683958,1407583660.7662494,296999.0
deepseek-v2-lite,4,profile_21_mooncake_toolagent_c1,mooncake,mooncake_toolagent,external_test,latency,29,32,197503,2057,50285007.51359388,3082314206.1999536,3132599213.713547,296999.0
deepseek-v2-lite,4,profile_21_mooncake_toolagent_c1,mooncake,mooncake_toolagent,external_test,throughput,4,32,197503,2057,21843245.718628168,793670576.2986094,815513822.0172375,296999.0
deepseek-v2-lite,4,profile_22_mooncake_toolagent_c2,mooncake,mooncake_toolagent,external_test,balanced,7,32,199717,1988,22564778.511878103,1377509831.8292294,1400074610.3411074,297000.0
deepseek-v2-lite,4,profile_22_mooncake_toolagent_c2,mooncake,mooncake_toolagent,external_test,latency,28,32,199717,1988,48527430.8884982,2966751060.3030677,3015278491.191566,297000.0
deepseek-v2-lite,4,profile_22_mooncake_toolagent_c2,mooncake,mooncake_toolagent,external_test,throughput,4,32,199717,1988,21808141.143992543,787235703.4648303,809043844.6088228,297000.0
deepseek-v2-lite,4,profile_23_mooncake_toolagent_c3,mooncake,mooncake_toolagent,external_test,balanced,7,32,188607,2043,21473768.807481974,1332707688.8235753,1354181457.631057,296999.0
deepseek-v2-lite,4,profile_23_mooncake_toolagent_c3,mooncake,mooncake_toolagent,external_test,latency,31,32,188607,2043,53031315.153930336,3069990568.18313,3123021883.33706,296999.0
deepseek-v2-lite,4,profile_23_mooncake_toolagent_c3,mooncake,mooncake_toolagent,external_test,throughput,3,32,188607,2043,20420134.504092857,593866734.0087705,614286868.5128633,296999.0
deepseek-v2-lite,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,external_synthetic,balanced,6,32,146417,2307,17128572.59553857,1141123601.7593184,1158252174.3548567,299353.0
deepseek-v2-lite,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,external_synthetic,latency,25,32,146417,2307,42619716.57979302,2940358771.0985446,2982978487.678338,299353.0
deepseek-v2-lite,4,profile_24_mooncake_synthetic_c0,mooncake,mooncake_synthetic,external_synthetic,throughput,3,32,146417,2307,16074125.072918832,584234698.8792996,600308823.9522185,299353.0
deepseek-v2-lite,8,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,balanced,4,32,17777,1473,8571128.186304122,678799745.6267476,687370873.8130517,295000.0
deepseek-v2-lite,8,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,latency,8,32,17777,1473,70968679.00690995,1144220983.4058304,1215189662.4127402,295000.0
deepseek-v2-lite,8,profile_01_burstgpt_1_c0,burstgpt,burstgpt_1,train,throughput,2,32,17777,1473,4526191.361946985,394999624.02624077,399525815.38818777,295000.0
deepseek-v2-lite,8,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,balanced,4,32,5763,386,8026347.728446126,411329894.6758732,419356242.40431935,281000.0
deepseek-v2-lite,8,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,latency,8,32,5763,386,14612421.276979148,430654328.92763054,445266750.2046097,281000.0
deepseek-v2-lite,8,profile_02_burstgpt_1_c1,burstgpt,burstgpt_1,train,throughput,2,32,5763,386,4028163.0936078727,394225215.7139592,398253378.80756706,281000.0
