parallelism,placement_id,topology,curve_kind,phase,slice_type,slice_value,cases,cost_mape,cost_wape,signed_bias,evidence_set
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb16,216,0.28240770640861057,0.19224294258372593,0.12638222412249617,phase34_open_target_repeated_engineering
pp,pp_l3_cross_rack_nominal_proxy,L3_cross_rack_p2p_proxy,parameterized_p2p_sensitivity,total,policy,mb4,216,0.07430542483791716,0.053812188893793494,0.008829481359707216,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,model,deepseek-v2-lite,108,0.1769386752203168,0.04635220802912078,0.014907982915188826,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,model,llama-3.2-3b-instruct,108,0.17155379879176194,0.04621654064686005,0.015573282623526944,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,model,mixtral-8x7b-instruct-v0.1,108,0.1664419110160131,0.04604158628517802,0.016000180634098134,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,model,qwen2.5-14b-instruct,108,0.16161961395811433,0.04584173288844499,0.01629250236409281,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,model,qwen3-30b-a3b,108,0.17693866380239698,0.046352202932250945,0.01490798361956349,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,model,qwen3-8b,108,0.166441900216744,0.046041581679236034,0.01600018194418514,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,overall,all,648,0.16998909383422453,0.046139202234848166,0.015618834896187891,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,policy,mb1,216,0.033593791645593875,0.023578505057032125,0.001199625700219565,phase34_open_target_repeated_engineering
pp,validation_common_reference_5us_100gbps,reference_only,numeric_validation_reference,decode,policy,mb16,216,0.3848457194777386,0.2115669457547089,0.14672971510045615,phase34_open_target_repeated_engineering
