round,candidate_id,kind,bin,target_sum,predicted_sum,signed_bias,relative_signed_bias
0,p58_r0_mlp_1,logical_bytes,2,217142753.13857418,154068486.31781873,-63074266.82075545,-0.29047373632820844
0,p58_r0_mlp_1,logical_bytes,3,1680304948.9872465,1073366206.5111237,-606938742.4761229,-0.36120749560485255
0,p58_r0_mlp_1,logical_bytes,4,29688525019.17854,18085589438.348644,-11602935580.829895,-0.3908222309237153
0,p58_r0_mlp_1,logical_bytes,5,1086554615181.949,1303574013558.9385,217019398376.9895,0.19973169810764507
0,p58_r0_mlp_1,logical_bytes,6,19359287150266.773,14685384505326.566,-4673902644940.207,-0.24142948077898624
0,p58_r0_mlp_1,logical_bytes,7,108272547556364.53,105283712666632.25,-2988834889732.2812,-0.027604734137952683
0,p58_r0_mlp_1,logical_bytes,8,162453449513508.2,173216594078873.6,10763144565365.406,0.06625371512637802
0,p58_r0_mlp_1,logical_bytes,9,118285301917077.61,114220436057332.31,-4064865859745.297,-0.03436492779631166
0,p58_r0_mlp_1,logical_bytes,10,3794547254511.1694,2141015581248.7905,-1653531673262.379,-0.435765207903675
0,p58_r0_mlp_1,logical_bytes,11,0.0,38421934.89978461,38421934.89978461,3.842193489978461e+19
0,p58_r0_ridge_0,calls,0,0.0,0.6024822926264264,0.6024822926264264,602482292626.4264
0,p58_r0_ridge_0,calls,1,0.0,0.6024822926264264,0.6024822926264264,602482292626.4264
0,p58_r0_ridge_0,calls,2,1767.1122488490737,1036.4729411042176,-730.6393077448561,-0.4134651368189678
0,p58_r0_ridge_0,calls,3,5031.999230663869,3773.206643349457,-1258.7925873144118,-0.2501575476489769
0,p58_r0_ridge_0,calls,4,24606.282118418683,15011.201600850323,-9595.08051756836,-0.38994434313122417
0,p58_r0_ridge_0,calls,5,310558.6082667991,349714.7744034776,39156.16613667848,0.12608301652047477
0,p58_r0_ridge_0,calls,6,1551119.6880495693,1319815.1411577684,-231304.54689180083,-0.1491210179806634
0,p58_r0_ridge_0,calls,7,2904284.948131066,3095214.722898295,190929.77476722933,0.06574071696721577
0,p58_r0_ridge_0,calls,8,1391137.5597245158,1395048.924740728,3911.3650162122212,0.0028116306607283187
0,p58_r0_ridge_0,calls,9,345451.4823159769,309598.2461412082,-35853.23617476865,-0.10378660393755232
0,p58_r0_ridge_0,calls,10,4737.760266255596,3339.5781558551785,-1398.182110400418,-0.29511457562740845
0,p58_r0_ridge_0,calls,11,0.0,0.6024822926264264,0.6024822926264264,602482292626.4264
