model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_max_us,frozen_corrected_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,corrected_absolute_error_us,matched_solo_absolute_error_us,phase51_signed_error_us,corrected_signed_error_us,cross_replica_relative_spread
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_08__p6_p24,6,24,11943936,47775744,358.956,1177.449,1177.449,1345.070738781922,1143.481,1311.5875,134.13850000000002,33.483238781921955,168.1065000000001,-134.13850000000002,33.483238781921955,0.0006869537869185756
deepseek-v2-lite,P1D2,L1,deepseek-v2-lite__res_09__p12_p48,12,48,23887872,95551488,664.861,2295.5825,2295.5825,2696.9542727324115,2250.23,2572.292,276.70949999999993,124.66227273241157,322.0619999999999,-276.70949999999993,124.66227273241157,0.003655106029953071
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_00__p2_p2,2,2,3981312,3981312,135.2385,135.2385,135.2385,137.19209637979537,124.2365,185.639,50.40050000000002,48.44690362020464,61.4025,-50.40050000000002,-48.44690362020464,0.0034233108344692434
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_01__p3_p3,3,3,5971968,5971968,198.799,198.799,198.799,253.2904319744035,178.4515,281.924,83.12499999999997,28.633568025596475,103.47249999999997,-83.12499999999997,-28.633568025596475,0.003359061307302687
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_02__p6_p6,6,6,11943936,11943936,352.5455,352.5455,352.5455,534.1207079082997,321.329,543.197,190.6515,9.076292091700338,221.868,-190.6515,-9.076292091700338,0.000989512092298048
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_03__p12_p12,12,12,23887872,23887872,662.789,662.789,662.789,1100.8052679581074,614.495,1075.729,412.94000000000005,25.076267958107337,461.23400000000004,-412.94000000000005,25.076267958107337,0.006945987325804157
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_04__p24_p24,24,24,47775744,47775744,1170.2465,1170.2465,1170.2465,2027.7169683852726,1198.99,2117.274,947.0274999999999,89.5570316147273,918.2839999999999,-947.0274999999999,-89.5570316147273,0.0032773273558357827
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_05__p48_p48,48,48,95551488,95551488,2318.276,2318.276,2318.276,4124.6846474235135,2322.545,4208.863,1890.5870000000004,84.17835257648676,1886.3180000000002,-1890.5870000000004,-84.17835257648676,0.0035213785765894285
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_06__p1_p6,1,6,1990656,11943936,79.26849999999999,352.5455,352.5455,301.80750535806567,313.7165,332.082,20.46350000000001,30.274494641934325,18.365499999999997,20.46350000000001,-30.274494641934325,0.000612800452900075
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_07__p3_p12,3,12,5971968,23887872,198.799,662.789,662.789,706.366647615806,596.105,680.763,17.974000000000046,25.603647615805926,84.65800000000002,-17.974000000000046,25.603647615805926,0.0008020412390215818
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_08__p6_p24,6,24,11943936,47775744,352.5455,1170.2465,1170.2465,1332.588077045976,1156.9095,1310.824,140.5775000000001,21.76407704597591,153.9145000000001,-140.5775000000001,21.76407704597591,0.0011012157238501014
deepseek-v2-lite,P1D2,L2,deepseek-v2-lite__res_09__p12_p48,12,48,23887872,95551488,662.789,2318.276,2318.276,2717.3525750197646,2268.028,2574.113,255.837,143.23957501976474,306.08500000000004,-255.837,143.23957501976474,9.867476680313002e-05
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_00__p2_p2,2,2,3981312,3981312,138.06,138.06,138.06,142.345791739023,124.049,187.515,49.454999999999984,45.16920826097697,63.46599999999998,-49.454999999999984,-45.16920826097697,0.0024984667893235527
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_01__p3_p3,3,3,5971968,5971968,200.29000000000002,200.29000000000002,200.29000000000002,256.0138626958667,178.0105,282.296,82.00599999999997,26.2821373041333,104.28549999999998,-82.00599999999997,-26.2821373041333,0.008430866891489768
deepseek-v2-lite,P1D2,L3,deepseek-v2-lite__res_02__p6_p6,6,6,11943936,11943936,354.847,354.847,354.847,538.3245816879426,324.877,557.0725,202.2255,18.747918312057436,232.19549999999998,-202.2255,-18.747918312057436,0.0034806959596820246
