method,phase,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
enhanced_bounded_residual,prefill,mb1,burstgpt_1,9,0.09810454065314152,0.0981045406531415,0.024884398975352898,0.019520657162077928,0.26818643200104025,0.13409321600052013,0.012087758315639775,0.02813892449159729,0.022948607783059825
enhanced_bounded_residual,prefill,mb1,burstgpt_2,9,0.04643121368560509,0.046481285220919724,0.015126201544176971,0.015264883480343156,0.47070783609889894,0.23535391804944947,0.03243493466622775,0.012900407602205953,0.012750383992890597
enhanced_bounded_residual,prefill,mb1,burstgpt_3,9,0.25457709416545243,0.25462921770058766,0.13186575443236276,0.035138974109044166,0.25059199889475164,0.12529599944737582,0.013171670282959382,0.05060493189683545,0.03922065423761808
enhanced_bounded_residual,prefill,mb1,mooncake_conversation,9,0.026120469400570268,0.026071443657396325,0.011905390234188388,0.011887778024590439,0.3202572621069887,0.16012863105349434,0.01565540059948995,0.012160177190164033,0.012141241136898214
enhanced_bounded_residual,prefill,mb1,mooncake_synthetic,9,0.024365453400934486,0.02427083648169478,0.021087821732214306,0.021396382430371275,0.3718663155390105,0.18593315776950525,0.04791039058166918,0.020988372709853657,0.02127527515198724
enhanced_bounded_residual,prefill,mb1,mooncake_toolagent,9,0.03291138683782119,0.03281281311669605,0.011832684487473261,0.011934424384905754,0.05078159646117816,0.02539079823058908,0.004055278856231913,0.011688721016488638,0.011782290260237525
enhanced_bounded_residual,prefill,mb16,all,54,0.24714604937258725,0.140573408246847,0.05396556676679513,0.026381632771977092,0.7318249728947112,0.3659124864473556,0.05586942216903143,0.06735956962258906,0.027570944035784434
enhanced_bounded_residual,prefill,mb16,burstgpt_1,9,0.4728042231502764,0.42842440762010175,0.03927353233306991,0.03325015892579808,1.089854258011548,0.544927129005774,0.06645963807290974,0.03653141326511668,0.03227244184428158
enhanced_bounded_residual,prefill,mb16,burstgpt_2,9,0.2950650880738905,0.29637666380007693,0.05363725835994769,0.05951024740367175,0.83463514013641,0.417317570068205,0.05241438397100899,0.05561283753432236,0.06086606117119509
enhanced_bounded_residual,prefill,mb16,burstgpt_3,9,0.5730060656375929,0.6617181078870016,0.15195766408755748,0.04854456760763847,1.4811436615553069,0.7405718307776534,0.13681407885517108,0.23326714735710974,0.09519502299053292
enhanced_bounded_residual,prefill,mb16,mooncake_conversation,9,0.05341908105690088,0.05306899891317591,0.014706009476807927,0.014715406840124708,0.2148234584112886,0.1074117292056443,0.01229820964116874,0.015250831335881863,0.015258749629515546
enhanced_bounded_residual,prefill,mb16,mooncake_synthetic,9,0.04674815309724537,0.04598407873035514,0.04719940576583751,0.04740109414064753,0.5348435454710766,0.2674217727355383,0.05452700037402183,0.04711674977591687,0.047301273634025635
enhanced_bounded_residual,prefill,mb16,mooncake_toolagent,9,0.04183368521961721,0.041776782299717284,0.017019530577550183,0.01709257920719768,0.23564977378263757,0.11782488689131879,0.012703222099908111,0.016378438467186746,0.016454924979412793
enhanced_bounded_residual,prefill,mb4,all,54,0.15070508285413123,0.1141704023460469,0.03939210730978361,0.01916094991217166,0.5514851747710354,0.2757425873855177,0.0369734484127577,0.04135513158415732,0.02040740410170743
enhanced_bounded_residual,prefill,mb4,burstgpt_1,9,0.21351792621189802,0.2107112805123746,0.02822236585076044,0.02094193720324156,0.7875402004086504,0.3937701002043252,0.04589309594619376,0.04238450094390536,0.034474754652383616
enhanced_bounded_residual,prefill,mb4,burstgpt_2,9,0.2061774209642277,0.18016995705836858,0.02678658019414783,0.0292278420024152,0.661992622640168,0.330996311320084,0.05526607084506545,0.02285171438817855,0.023877001505799453
enhanced_bounded_residual,prefill,mb4,burstgpt_3,9,0.2978459419576417,0.29135972952205763,0.1233910718415391,0.024511551460299864,1.1944050894989582,0.5972025447494791,0.06450112740905764,0.12365607352331703,0.05005638171306233
enhanced_bounded_residual,prefill,mb4,mooncake_conversation,9,0.027387290877773425,0.027320781439119753,0.009240847001832178,0.009238913837421862,0.22879136328173225,0.11439568164086612,0.012108361029832355,0.008812228955070632,0.008814149876930303
enhanced_bounded_residual,prefill,mb4,mooncake_synthetic,9,0.12524704815721097,0.12482841663813322,0.027618981113397563,0.02781441966211869,0.321161291377836,0.160580645688918,0.036371402286398534,0.02970736627570819,0.029872514983701907
enhanced_bounded_residual,prefill,mb4,mooncake_toolagent,9,0.03405486895603542,0.03391892199298662,0.021092797857024587,0.021135351023075562,0.1150204814188669,0.05751024070943345,0.007700632959998429,0.020718905418764127,0.020759029388646107
