timestamp, index, memory.used [MiB], utilization.gpu [%]
2026/08/06 10:22:53.525, 0, 157443 MiB, 0 %
2026/08/06 10:22:53.526, 1, 157443 MiB, 0 %
2026/08/06 10:22:53.526, 2, 0 MiB, 0 %
2026/08/06 10:22:53.526, 3, 0 MiB, 0 %
2026/08/06 10:22:53.526, 4, 0 MiB, 0 %
2026/08/06 10:22:53.526, 5, 0 MiB, 0 %
2026/08/06 10:22:53.526, 6, 0 MiB, 0 %
2026/08/06 10:22:53.526, 7, 0 MiB, 0 %
2026/08/06 10:22:54.526, 0, 158085 MiB, 0 %
2026/08/06 10:22:54.526, 1, 158085 MiB, 0 %
2026/08/06 10:22:54.526, 2, 0 MiB, 0 %
2026/08/06 10:22:54.526, 3, 0 MiB, 0 %
2026/08/06 10:22:54.526, 4, 0 MiB, 0 %
2026/08/06 10:22:54.526, 5, 0 MiB, 0 %
2026/08/06 10:22:54.526, 6, 0 MiB, 0 %
2026/08/06 10:22:54.526, 7, 0 MiB, 0 %
2026/08/06 10:22:55.526, 0, 158791 MiB, 1 %
2026/08/06 10:22:55.526, 1, 158791 MiB, 0 %
2026/08/06 10:22:55.526, 2, 0 MiB, 0 %
2026/08/06 10:22:55.526, 3, 0 MiB, 0 %
2026/08/06 10:22:55.526, 4, 0 MiB, 0 %
2026/08/06 10:22:55.526, 5, 0 MiB, 0 %
2026/08/06 10:22:55.526, 6, 0 MiB, 0 %
2026/08/06 10:22:55.526, 7, 0 MiB, 0 %
2026/08/06 10:22:56.526, 0, 158863 MiB, 0 %
2026/08/06 10:22:56.526, 1, 158863 MiB, 0 %
2026/08/06 10:22:56.526, 2, 0 MiB, 0 %
2026/08/06 10:22:56.526, 3, 0 MiB, 0 %
2026/08/06 10:22:56.526, 4, 0 MiB, 0 %
2026/08/06 10:22:56.526, 5, 0 MiB, 0 %
2026/08/06 10:22:56.526, 6, 0 MiB, 0 %
2026/08/06 10:22:56.526, 7, 0 MiB, 0 %
2026/08/06 10:22:57.526, 0, 159077 MiB, 44 %
2026/08/06 10:22:57.536, 1, 159077 MiB, 57 %
2026/08/06 10:22:57.536, 2, 0 MiB, 0 %
2026/08/06 10:22:57.537, 3, 0 MiB, 0 %
2026/08/06 10:22:57.537, 4, 0 MiB, 0 %
2026/08/06 10:22:57.537, 5, 0 MiB, 0 %
2026/08/06 10:22:57.537, 6, 0 MiB, 0 %
2026/08/06 10:22:57.537, 7, 0 MiB, 0 %
2026/08/06 10:22:58.537, 0, 159077 MiB, 17 %
2026/08/06 10:22:58.537, 1, 159077 MiB, 54 %
2026/08/06 10:22:58.537, 2, 0 MiB, 0 %
2026/08/06 10:22:58.537, 3, 0 MiB, 0 %
2026/08/06 10:22:58.537, 4, 0 MiB, 0 %
2026/08/06 10:22:58.537, 5, 0 MiB, 0 %
2026/08/06 10:22:58.537, 6, 0 MiB, 0 %
2026/08/06 10:22:58.537, 7, 0 MiB, 0 %
2026/08/06 10:22:59.537, 0, 159077 MiB, 20 %
2026/08/06 10:22:59.537, 1, 159077 MiB, 85 %
2026/08/06 10:22:59.537, 2, 0 MiB, 0 %
2026/08/06 10:22:59.537, 3, 0 MiB, 0 %
2026/08/06 10:22:59.537, 4, 0 MiB, 0 %
2026/08/06 10:22:59.537, 5, 0 MiB, 0 %
2026/08/06 10:22:59.537, 6, 0 MiB, 0 %
2026/08/06 10:22:59.537, 7, 0 MiB, 0 %
2026/08/06 10:23:00.537, 0, 159077 MiB, 17 %
2026/08/06 10:23:00.537, 1, 159077 MiB, 66 %
2026/08/06 10:23:00.537, 2, 0 MiB, 0 %
2026/08/06 10:23:00.537, 3, 0 MiB, 0 %
2026/08/06 10:23:00.537, 4, 0 MiB, 0 %
2026/08/06 10:23:00.537, 5, 0 MiB, 0 %
2026/08/06 10:23:00.537, 6, 0 MiB, 0 %
2026/08/06 10:23:00.537, 7, 0 MiB, 0 %
2026/08/06 10:23:01.537, 0, 159077 MiB, 19 %
2026/08/06 10:23:01.537, 1, 159077 MiB, 22 %
2026/08/06 10:23:01.537, 2, 0 MiB, 0 %
2026/08/06 10:23:01.537, 3, 0 MiB, 0 %
2026/08/06 10:23:01.537, 4, 0 MiB, 0 %
2026/08/06 10:23:01.537, 5, 0 MiB, 0 %
2026/08/06 10:23:01.537, 6, 0 MiB, 0 %
2026/08/06 10:23:01.538, 7, 0 MiB, 0 %
2026/08/06 10:23:02.538, 0, 159623 MiB, 52 %
2026/08/06 10:23:02.538, 1, 159623 MiB, 49 %
2026/08/06 10:23:02.538, 2, 0 MiB, 0 %
2026/08/06 10:23:02.538, 3, 0 MiB, 0 %
2026/08/06 10:23:02.538, 4, 0 MiB, 0 %
2026/08/06 10:23:02.538, 5, 0 MiB, 0 %
2026/08/06 10:23:02.538, 6, 0 MiB, 0 %
2026/08/06 10:23:02.538, 7, 0 MiB, 0 %
2026/08/06 10:23:03.538, 0, 159623 MiB, 65 %
2026/08/06 10:23:03.538, 1, 159623 MiB, 38 %
2026/08/06 10:23:03.538, 2, 0 MiB, 0 %
2026/08/06 10:23:03.538, 3, 0 MiB, 0 %
2026/08/06 10:23:03.538, 4, 0 MiB, 0 %
2026/08/06 10:23:03.538, 5, 0 MiB, 0 %
2026/08/06 10:23:03.538, 6, 0 MiB, 0 %
2026/08/06 10:23:03.538, 7, 0 MiB, 0 %
2026/08/06 10:23:04.538, 0, 159623 MiB, 81 %
2026/08/06 10:23:04.538, 1, 159623 MiB, 18 %
2026/08/06 10:23:04.538, 2, 0 MiB, 0 %
2026/08/06 10:23:04.538, 3, 0 MiB, 0 %
2026/08/06 10:23:04.538, 4, 0 MiB, 0 %
2026/08/06 10:23:04.538, 5, 0 MiB, 0 %
2026/08/06 10:23:04.538, 6, 0 MiB, 0 %
2026/08/06 10:23:04.538, 7, 0 MiB, 0 %
2026/08/06 10:23:05.538, 0, 159623 MiB, 46 %
2026/08/06 10:23:05.538, 1, 159623 MiB, 18 %
2026/08/06 10:23:05.538, 2, 0 MiB, 0 %
2026/08/06 10:23:05.538, 3, 0 MiB, 0 %
2026/08/06 10:23:05.538, 4, 0 MiB, 0 %
2026/08/06 10:23:05.538, 5, 0 MiB, 0 %
2026/08/06 10:23:05.538, 6, 0 MiB, 0 %
2026/08/06 10:23:05.538, 7, 0 MiB, 0 %
2026/08/06 10:23:06.538, 0, 159623 MiB, 50 %
2026/08/06 10:23:06.539, 1, 159623 MiB, 60 %
2026/08/06 10:23:06.539, 2, 0 MiB, 0 %
2026/08/06 10:23:06.539, 3, 0 MiB, 0 %
2026/08/06 10:23:06.539, 4, 0 MiB, 0 %
2026/08/06 10:23:06.539, 5, 0 MiB, 0 %
2026/08/06 10:23:06.539, 6, 0 MiB, 0 %
2026/08/06 10:23:06.539, 7, 0 MiB, 0 %
2026/08/06 10:23:07.539, 0, 159623 MiB, 52 %
2026/08/06 10:23:07.539, 1, 159623 MiB, 56 %
2026/08/06 10:23:07.539, 2, 0 MiB, 0 %
2026/08/06 10:23:07.539, 3, 0 MiB, 0 %
2026/08/06 10:23:07.539, 4, 0 MiB, 0 %
2026/08/06 10:23:07.539, 5, 0 MiB, 0 %
2026/08/06 10:23:07.539, 6, 0 MiB, 0 %
2026/08/06 10:23:07.539, 7, 0 MiB, 0 %
2026/08/06 10:23:08.539, 0, 159623 MiB, 24 %
2026/08/06 10:23:08.539, 1, 159623 MiB, 33 %
2026/08/06 10:23:08.539, 2, 0 MiB, 0 %
2026/08/06 10:23:08.539, 3, 0 MiB, 0 %
2026/08/06 10:23:08.539, 4, 0 MiB, 0 %
2026/08/06 10:23:08.539, 5, 0 MiB, 0 %
2026/08/06 10:23:08.539, 6, 0 MiB, 0 %
2026/08/06 10:23:08.539, 7, 0 MiB, 0 %
2026/08/06 10:23:09.539, 0, 159623 MiB, 62 %
2026/08/06 10:23:09.539, 1, 159623 MiB, 32 %
2026/08/06 10:23:09.539, 2, 0 MiB, 0 %
2026/08/06 10:23:09.539, 3, 0 MiB, 0 %
2026/08/06 10:23:09.539, 4, 0 MiB, 0 %
2026/08/06 10:23:09.539, 5, 0 MiB, 0 %
2026/08/06 10:23:09.539, 6, 0 MiB, 0 %
2026/08/06 10:23:09.539, 7, 0 MiB, 0 %
2026/08/06 10:23:10.539, 0, 159623 MiB, 30 %
