model_id,configuration,topology_level,pair_id,replica_id,measurement_id,payload_bytes0,payload_bytes1,repeat_count,concurrent_wave_us,solo0_us,solo1_us,matched_solo_ideal_us,concurrent_repeat_cv
qwen3-8b,P2D1,L2,qwen3-8b__dev_05__p4096_p4096,0,qwen3-8b__p2d1__l2__r0,603979776,603979776,7,27091.148,14776.357,14921.05,14921.05,0.010367930951477948
qwen3-8b,P2D1,L2,qwen3-8b__dev_05__p4096_p4096,1,qwen3-8b__p2d1__l2__r1,603979776,603979776,5,27144.557,14946.401,14863.873,14946.401,0.0032107123144668103
qwen3-8b,P2D1,L2,qwen3-8b__dev_06__p1_p64,0,qwen3-8b__p2d1__l2__r0,147456,9437184,7,262.0265,61.4745,259.509,259.509,0.016962080554512142
qwen3-8b,P2D1,L2,qwen3-8b__dev_06__p1_p64,1,qwen3-8b__p2d1__l2__r1,147456,9437184,5,260.09000000000003,62.905,259.2865,259.2865,0.016768559803389163
qwen3-8b,P2D1,L2,qwen3-8b__dev_07__p4_p256,0,qwen3-8b__p2d1__l2__r0,589824,37748736,7,931.5509999999999,69.346,928.763,928.763,0.005446384429629146
qwen3-8b,P2D1,L2,qwen3-8b__dev_07__p4_p256,1,qwen3-8b__p2d1__l2__r1,589824,37748736,5,932.6890000000001,75.4475,929.033,929.033,0.014343835428596007
qwen3-8b,P2D1,L2,qwen3-8b__dev_08__p16_p1024,0,qwen3-8b__p2d1__l2__r0,2359296,150994944,7,3642.776,107.671,3621.549,3621.549,0.004986073637129402
qwen3-8b,P2D1,L2,qwen3-8b__dev_08__p16_p1024,1,qwen3-8b__p2d1__l2__r1,2359296,150994944,5,3634.012,108.012,3623.059,3623.059,0.017404979562102515
qwen3-8b,P2D1,L2,qwen3-8b__dev_09__p64_p4096,0,qwen3-8b__p2d1__l2__r0,9437184,603979776,7,14968.478,270.57,14861.22,14861.22,0.004575845905066198
qwen3-8b,P2D1,L2,qwen3-8b__dev_09__p64_p4096,1,qwen3-8b__p2d1__l2__r1,9437184,603979776,5,14940.865,272.549,14870.074,14870.074,0.020753631354898976
qwen3-8b,P2D1,L3,qwen3-8b__dev_00__p1_p1,0,qwen3-8b__p2d1__l3__r0,147456,147456,5,73.048,73.572,73.17949999999999,73.572,0.016040147072644898
qwen3-8b,P2D1,L3,qwen3-8b__dev_00__p1_p1,1,qwen3-8b__p2d1__l3__r1,147456,147456,9,73.0235,68.78049999999999,73.0555,73.0555,0.05195908044703082
qwen3-8b,P2D1,L3,qwen3-8b__dev_01__p4_p4,0,qwen3-8b__p2d1__l3__r0,589824,589824,5,79.0545,79.1165,74.112,79.1165,0.02630765866506113
qwen3-8b,P2D1,L3,qwen3-8b__dev_01__p4_p4,1,qwen3-8b__p2d1__l3__r1,589824,589824,9,78.623,73.369,77.739,77.739,0.03916505874628246
qwen3-8b,P2D1,L3,qwen3-8b__dev_02__p16_p16,0,qwen3-8b__p2d1__l3__r0,2359296,2359296,5,114.018,106.78,107.8045,107.8045,0.1140720653881953
qwen3-8b,P2D1,L3,qwen3-8b__dev_02__p16_p16,1,qwen3-8b__p2d1__l3__r1,2359296,2359296,9,113.65549999999999,105.757,109.05199999999999,109.05199999999999,0.1495693688524308
qwen3-8b,P2D1,L3,qwen3-8b__dev_03__p64_p64,0,qwen3-8b__p2d1__l3__r0,9437184,9437184,5,454.985,274.07050000000004,274.27049999999997,274.27049999999997,0.1397279831292468
qwen3-8b,P2D1,L3,qwen3-8b__dev_03__p64_p64,1,qwen3-8b__p2d1__l3__r1,9437184,9437184,9,422.217,271.81600000000003,274.878,274.878,0.03562975031645258
qwen3-8b,P2D1,L3,qwen3-8b__dev_04__p256_p256,0,qwen3-8b__p2d1__l3__r0,37748736,37748736,5,1714.397,968.683,946.028,968.683,0.1355987708897172
qwen3-8b,P2D1,L3,qwen3-8b__dev_04__p256_p256,1,qwen3-8b__p2d1__l3__r1,37748736,37748736,9,1656.31,966.442,945.121,966.442,0.023054296593800528
qwen3-8b,P2D1,L3,qwen3-8b__dev_05__p4096_p4096,0,qwen3-8b__p2d1__l3__r0,603979776,603979776,5,27209.804,14941.942,14938.36,14941.942,0.10076755570440668
