workload_id,model,tp,phase,mode,case_label,batch_size,input_len,output_len,output_lens_json,prefill_chunk_size,repeat_count,calls,logical_payload_bytes,calls_by_payload_json,calls_by_op_payload_json,backend_signature,target_post_us,post_repeat_iqr_fraction
deepseek-v2-lite-mixed-balanced,deepseek-v2-lite,8,decode,mixed_same_coarse,balanced,8,512,64,"[16,16,16,16,32,32,64,64]",0,3,3465,55869440,"{""8192"":1760,""16384"":880,""32768"":825}","{""all_reduce:8192"":1760,""all_reduce:16384"":880,""all_reduce:32768"":825}",sglang_custom:all_reduce_one_shot_push,25759.8642578125,0.007157395447079378
deepseek-v2-lite-mixed-bimodal,deepseek-v2-lite,8,decode,mixed_same_coarse,bimodal,8,512,64,"[8,8,16,16,16,64,64,64]",0,3,3465,55869440,"{""12288"":2640,""24576"":440,""32768"":385}","{""all_reduce:12288"":2640,""all_reduce:24576"":440,""all_reduce:32768"":385}",sglang_custom:all_reduce_one_shot_push,25718.13720703125,0.03160364448993459
deepseek-v2-lite-mixed-long_tail,deepseek-v2-lite,8,decode,mixed_same_coarse,long_tail,8,512,128,"[8,8,8,8,16,32,64,128]",0,3,6985,59473920,"{""4096"":3520,""8192"":1760,""12288"":880,""16384"":440,""32768"":385}","{""all_reduce:4096"":3520,""all_reduce:8192"":1760,""all_reduce:12288"":880,""all_reduce:16384"":440,""all_reduce:32768"":385}",sglang_custom:all_reduce_one_shot_push,49217.84814453125,0.015814704461896242
deepseek-v2-lite-mixed-staircase,deepseek-v2-lite,8,decode,mixed_same_coarse,staircase,8,512,64,"[16,16,16,24,32,40,48,64]",0,3,3465,55869440,"{""4096"":880,""8192"":440,""12288"":440,""16384"":440,""20480"":440,""32768"":825}","{""all_reduce:4096"":880,""all_reduce:8192"":440,""all_reduce:12288"":440,""all_reduce:16384"":440,""all_reduce:20480"":440,""all_reduce:32768"":825}",sglang_custom:all_reduce_one_shot_push,25272.1787109375,0.011815010801735836
deepseek-v2-lite-mixed-uniform_b16,deepseek-v2-lite,8,decode,mixed_same_coarse,uniform_b16,16,512,64,"[64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64]",0,3,3465,227082240,"{""65536"":3465}","{""all_reduce:65536"":3465}",sglang_custom:all_reduce_one_shot_push,29164.29736328125,0.02593943415369964
deepseek-v2-lite-mixed-uniform_b4,deepseek-v2-lite,8,decode,mixed_same_coarse,uniform_b4,4,512,64,"[64,64,64,64]",0,3,3465,56770560,"{""16384"":3465}","{""all_reduce:16384"":3465}",sglang_custom:all_reduce_one_shot_push,24850.6796875,0.04103913271675479
qwen3-30b-a3b-chunk-c1024-b1-l1023-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c1024,1,1023,8,[8],1024,3,97,406450176,"{""4190208"":97}","{""all_reduce:4190208"":2,""fused_allreduce_residual_rmsnorm:4190208"":95}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_one_shot_push,1470.548828125,0.0295240138075575
qwen3-30b-a3b-chunk-c1024-b1-l1024-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c1024,1,1024,8,[8],1024,3,97,406847488,"{""4194304"":97}","{""all_reduce:4194304"":2,""fused_allreduce_residual_rmsnorm:4194304"":95}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_one_shot_push,1457.69677734375,0.03282967598915107
qwen3-30b-a3b-chunk-c1024-b1-l1025-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c1024,1,1025,8,[8],1024,3,194,407244800,"{""4096"":97,""4194304"":97}","{""all_reduce:4096"":2,""all_reduce:4194304"":2,""fused_allreduce_residual_rmsnorm:4096"":95,""fused_allreduce_residual_rmsnorm:4194304"":95}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+flashinfer_mnnvl:fused_allreduce_residual_rmsnorm_twoshot+sglang_custom:all_reduce_one_shot_push,2230.83935546875,0.019126309792221477
qwen3-30b-a3b-chunk-c1024-b4-l1023-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c1024,4,1023,8,"[8,8,8,8]",1024,3,97,1625800704,"{""16760832"":97}","{""all_reduce:16760832"":97}",sglang_custom:all_reduce_one_shot,3643.80078125,0.004127367971930065
qwen3-30b-a3b-chunk-c1024-b4-l1024-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c1024,4,1024,8,"[8,8,8,8]",1024,3,97,1627389952,"{""16777216"":97}","{""all_reduce:16777216"":97}",sglang_custom:all_reduce_one_shot,3652.9736328125,0.00411840738696134
qwen3-30b-a3b-chunk-c1024-b4-l1025-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c1024,4,1025,8,"[8,8,8,8]",1024,3,194,1628979200,"{""16384"":97,""16777216"":97}","{""all_reduce:16384"":2,""all_reduce:16777216"":97,""fused_allreduce_residual_rmsnorm:16384"":95}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot+sglang_custom:all_reduce_one_shot_push,4271.89697265625,0.007556083117257193
qwen3-30b-a3b-chunk-c4096-b1-l4095-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c4096,1,4095,8,[8],4096,3,97,1626992640,"{""16773120"":97}","{""all_reduce:16773120"":97}",sglang_custom:all_reduce_one_shot,3658.544921875,0.003790089019979447
qwen3-30b-a3b-chunk-c4096-b1-l4096-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c4096,1,4096,8,[8],4096,3,97,1627389952,"{""16777216"":97}","{""all_reduce:16777216"":97}",sglang_custom:all_reduce_one_shot,3651.78369140625,0.0037600017007955633
qwen3-30b-a3b-chunk-c4096-b1-l4097-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c4096,1,4097,8,[8],4096,3,194,1627787264,"{""4096"":97,""16777216"":97}","{""all_reduce:4096"":2,""all_reduce:16777216"":97,""fused_allreduce_residual_rmsnorm:4096"":95}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot+sglang_custom:all_reduce_one_shot_push,4265.751953125,0.006430783882347824
qwen3-30b-a3b-chunk-c4096-b4-l4095-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c4096,4,4095,8,"[8,8,8,8]",4096,3,97,6507970560,"{""67092480"":97}","{""all_reduce:67092480"":97}",nccl:all_reduce,14826.00830078125,0.003154131755833823
qwen3-30b-a3b-chunk-c4096-b4-l4096-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c4096,4,4096,8,"[8,8,8,8]",4096,3,97,6509559808,"{""67108864"":97}","{""all_reduce:67108864"":97}",nccl:all_reduce,14931.0,0.006325434891124171
qwen3-30b-a3b-chunk-c4096-b4-l4097-m8,qwen3-30b-a3b,2,prefill,chunked_prefill,c4096,4,4097,8,"[8,8,8,8]",4096,3,194,6511149056,"{""16384"":97,""67108864"":97}","{""all_reduce:16384"":2,""all_reduce:67108864"":97,""fused_allreduce_residual_rmsnorm:16384"":95}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+nccl:all_reduce+sglang_custom:all_reduce_one_shot_push,15502.69140625,0.003972502002550464
qwen3-30b-a3b-mixed-balanced,qwen3-30b-a3b,2,decode,mixed_same_coarse,balanced,8,512,64,"[16,16,16,16,32,32,64,64]",0,3,6111,98533376,"{""8192"":3104,""16384"":1552,""32768"":1455}","{""all_reduce:8192"":64,""all_reduce:16384"":32,""all_reduce:32768"":30,""fused_allreduce_residual_rmsnorm:8192"":3040,""fused_allreduce_residual_rmsnorm:16384"":1520,""fused_allreduce_residual_rmsnorm:32768"":1425}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,44370.80615234375,0.027364745112189354
qwen3-30b-a3b-mixed-bimodal,qwen3-30b-a3b,2,decode,mixed_same_coarse,bimodal,8,512,64,"[8,8,16,16,16,64,64,64]",0,3,6111,98533376,"{""12288"":4656,""24576"":776,""32768"":679}","{""all_reduce:12288"":96,""all_reduce:24576"":16,""all_reduce:32768"":14,""fused_allreduce_residual_rmsnorm:12288"":4560,""fused_allreduce_residual_rmsnorm:24576"":760,""fused_allreduce_residual_rmsnorm:32768"":665}",flashinfer_mnnvl:fused_allreduce_residual_rmsnorm+sglang_custom:all_reduce_one_shot_push,42279.43701171875,0.017430446452878782
