candidate_id,model,alpha,strict_gate,composite_ratio,ratio_calls_histogram_wape,ratio_bytes_histogram_wape,ratio_mean_calls_histogram_tv,ratio_mean_normalized_log_payload_emd
pd48_causal_w64_d1,mixtral-8x7b-instruct-v0.1,0.25,True,0.9567169146270506,0.955812680427249,0.9565703965937443,0.9520016569792945,0.9624829245079144
pd48_causal_w64_d1,mixtral-8x7b-instruct-v0.1,0.5,True,0.9420070519019463,0.9390389555250904,0.9365190226806619,0.9279011728321909,0.9645690565698422
pd48_causal_w64_d1,mixtral-8x7b-instruct-v0.1,0.75,True,0.9514783563150684,0.9461968010930196,0.9431946451181475,0.9257599662712642,0.9907620127778421
pd48_causal_w64_d1,mixtral-8x7b-instruct-v0.1,1.0,False,0.9829393150936637,0.9753368874433116,0.9748706991044607,0.9442694616887513,1.0372802121381315
pd48_causal_w64_d2,qwen3-8b,0.05,True,0.9918178929634306,0.9913459420566099,0.9962369189543652,0.990811303425747,0.9888774074170001
pd48_causal_w64_d2,qwen3-8b,0.1,True,0.9851771328388789,0.9839721895363734,0.9934256300403616,0.9828831458943186,0.980427565884462
pd48_causal_w64_d2,qwen3-8b,0.25,True,0.9734829911586537,0.9709362134274665,0.9877996946721087,0.9673930601940088,0.9678029963410305
pd48_causal_w64_d2,qwen3-8b,0.5,True,0.9783062760363902,0.9752898649967441,0.9928974181563746,0.9646662907966338,0.9803715301958086
pd48_causal_w64_d2,qwen3-8b,0.75,False,1.0072643797045937,1.0042756037773468,1.015969724258763,0.9850645720303699,1.0237476187518957
pd48_causal_w64_d2,qwen3-8b,1.0,False,1.0545896237889223,1.0520887250134352,1.0580350704621215,1.0236518352288326,1.0845828644513003
pd48_causal_w64_d2,deepseek-v2-lite,0.05,True,0.9770889733412024,0.9755537048217066,0.9814555948978783,0.9755274940269496,0.975819099618275
pd48_causal_w64_d2,deepseek-v2-lite,0.1,True,0.9556274491006338,0.9527639088705766,0.964117278794622,0.9525022007360376,0.9531264080012991
pd48_causal_w64_d2,deepseek-v2-lite,0.25,True,0.9036838426432366,0.8991516509440368,0.9192863259927444,0.8967245856732969,0.8995728079628688
pd48_causal_w64_d2,deepseek-v2-lite,0.5,True,0.8621652591158165,0.8577900269970525,0.8761805897522793,0.8503029712348361,0.864387448479098
pd48_causal_w64_d2,deepseek-v2-lite,0.75,True,0.8641497314920326,0.865251235251641,0.8671505327220655,0.8495569556752705,0.8746402023191528
pd48_causal_w64_d2,deepseek-v2-lite,1.0,True,0.9062541390041807,0.9165169681800159,0.8925880783660713,0.8888236450537774,0.9270878644168585
pd48_causal_w64_d2,qwen3-30b-a3b,0.05,True,0.9898700385498486,0.9907270368600961,0.9885207425886624,0.9904574196802277,0.9897749550704084
pd48_causal_w64_d2,qwen3-30b-a3b,0.1,True,0.9803282997980067,0.9816880840163262,0.9779716269971297,0.9812436478469592,0.9804098403316118
pd48_causal_w64_d2,qwen3-30b-a3b,0.25,True,0.9545872288769546,0.9568364916777042,0.9499856891535966,0.9552837067373734,0.956243027939144
