model_id,configuration,topology_level,pair_id,page_count0,page_count1,payload_bytes0,payload_bytes1,phase51_flow0_us,phase51_flow1_us,phase51_max_us,frozen_corrected_us,matched_solo_ideal_us,actual_concurrent_wave_us,phase51_absolute_error_us,corrected_absolute_error_us,matched_solo_absolute_error_us,phase51_signed_error_us,corrected_signed_error_us,cross_replica_relative_spread
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_01__p8_p8,8,8,917504,917504,87.1075,87.1075,87.1075,49.2769762894235,69.274,73.50399999999999,13.603500000000011,24.22702371057649,4.22999999999999,13.603500000000011,-24.22702371057649,0.020216586852416063
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_02__p32_p32,32,32,3670016,3670016,141.2875,141.2875,141.2875,148.24107856231097,123.5795,176.27300000000002,34.98550000000003,28.03192143768905,52.69350000000003,-34.98550000000003,-28.03192143768905,0.0011232576741760558
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_03__p128_p128,128,128,14680064,14680064,434.7905,434.7905,434.7905,684.3477767793524,392.19550000000004,681.4145,246.62399999999997,2.933276779352468,289.21899999999994,-246.62399999999997,2.933276779352468,0.025508702852668895
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_04__p512_p512,512,512,58720256,58720256,1425.307,1425.307,1425.307,2493.605366461571,1462.918,2588.084,1162.7769999999998,94.47863353842877,1125.166,-1162.7769999999998,-94.47863353842877,0.0012677331956767823
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_05__p2048_p2048,2048,2048,234881024,234881024,5672.741,5672.741,5672.741,10251.883195426866,5645.283,10278.713,4605.972,26.829804573133515,4633.429999999999,-4605.972,-26.829804573133515,0.00039518566186252094
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_06__p2_p32,2,32,229376,3670016,77.029,141.2875,141.2875,93.61482781279962,116.886,120.9045,20.382999999999996,27.28967218720038,4.018500000000003,20.382999999999996,-27.28967218720038,0.00045076899536414635
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_07__p8_p128,8,128,917504,14680064,87.1075,434.7905,434.7905,388.7819179537907,380.4785,385.916,48.87450000000001,2.8659179537906994,5.4375,48.87450000000001,2.8659179537906994,0.0038583525948651413
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_08__p32_p512,32,512,3670016,58720256,141.2875,1425.307,1425.307,1402.058393309969,1410.159,1411.7015000000001,13.605499999999893,9.643106690031118,1.5425000000000182,13.605499999999893,-9.643106690031118,0.001037754794480381
llama-3.2-3b-instruct,P1D2,L2,llama-3.2-3b-instruct__ext_09__p128_p2048,128,2048,14680064,234881024,434.7905,5672.741,5672.741,5799.093332194322,5528.968,5528.688,144.05299999999988,270.405332194322,0.27999999999974534,144.05299999999988,270.405332194322,0.0033729521362030447
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_00__p2_p2,2,2,229376,229376,78.85849999999999,78.85849999999999,78.85849999999999,34.209518193280076,62.0735,64.208,14.650499999999994,29.998481806719923,2.1344999999999956,14.650499999999994,-29.998481806719923,0.005988350361325624
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_01__p8_p8,8,8,917504,917504,88.943,88.943,88.943,52.62966380736157,69.5705,74.3315,14.611499999999992,21.70183619263844,4.76100000000001,14.611499999999992,-21.70183619263844,0.02221131014442074
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_02__p32_p32,32,32,3670016,3670016,143.484,143.484,143.484,152.2531614460762,129.1185,179.6745,36.190499999999986,27.42133855392379,50.55599999999998,-36.190499999999986,-27.42133855392379,0.012222101633787756
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_03__p128_p128,128,128,14680064,14680064,437.5815,437.5815,437.5815,689.4457614497775,415.5385,682.871,245.28949999999998,6.5747614497774975,267.3325,-245.28949999999998,6.5747614497774975,0.009153998339364209
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_04__p512_p512,512,512,58720256,58720256,1429.575,1429.575,1429.575,2501.4012097340083,1570.476,2592.196,1162.6209999999999,90.79479026599165,1021.7199999999998,-1162.6209999999999,-90.79479026599165,0.0008398284697608262
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_05__p2048_p2048,2048,2048,234881024,234881024,5668.994,5668.994,5668.994,10245.039000313973,6047.523,10268.673,4599.679000000001,23.63399968602789,4221.150000000001,-4599.679000000001,-23.63399968602789,0.004116500739676942
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_06__p2_p32,2,32,229376,3670016,78.85849999999999,143.484,143.484,97.31492342600808,116.812,121.9495,21.53450000000001,24.63457657399192,5.137500000000003,21.53450000000001,-24.63457657399192,0.006584692844169081
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_07__p8_p128,8,128,917504,14680064,88.943,437.5815,437.5815,393.06763058874714,381.82050000000004,386.85249999999996,50.72900000000004,6.215130588747172,5.031999999999925,50.72900000000004,6.215130588747172,0.0040583943492673216
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_08__p32_p512,32,512,3670016,58720256,143.484,1429.575,1429.575,1408.093251211948,1409.904,1413.5014999999999,16.073500000000195,5.408248788051878,3.5974999999998545,16.073500000000195,-5.408248788051878,0.0051146036986872085
llama-3.2-3b-instruct,P1D2,L3,llama-3.2-3b-instruct__ext_09__p128_p2048,128,2048,14680064,234881024,437.5815,5668.994,5668.994,5797.807101045734,5506.016,5523.894,145.09999999999945,273.91310104573404,17.87800000000061,145.09999999999945,273.91310104573404,4.163729427128443e-06
llama-3.2-3b-instruct,P2D1,L1,llama-3.2-3b-instruct__ext_00__p2_p2,2,2,229376,229376,82.3665,82.3665,82.3665,40.617160695555654,65.4665,64.824,17.542500000000004,24.206839304444344,0.6424999999999983,17.542500000000004,-24.206839304444344,0.015233555473281457
llama-3.2-3b-instruct,P2D1,L1,llama-3.2-3b-instruct__ext_01__p8_p8,8,8,917504,917504,91.549,91.549,91.549,57.38973118504974,74.56649999999999,83.7085,7.840500000000006,26.31876881495026,9.14200000000001,7.840500000000006,-26.31876881495026,0.03423188804004386
llama-3.2-3b-instruct,P2D1,L1,llama-3.2-3b-instruct__ext_02__p32_p32,32,32,3670016,3670016,145.4905,145.4905,145.4905,155.91819413730076,126.19200000000001,196.839,51.3485,40.92080586269924,70.64699999999999,-51.3485,-40.92080586269924,0.013780297603625183
llama-3.2-3b-instruct,P2D1,L1,llama-3.2-3b-instruct__ext_03__p128_p128,128,128,14680064,14680064,439.087,439.087,439.087,692.1956775806714,399.0975,682.3235,243.23649999999998,9.872177580671405,283.22599999999994,-243.23649999999998,9.872177580671405,0.0015967499287362133
