phase,tp,batch_size,input_len,output_len,left_model,right_model,left_calls,right_calls,calls_ratio,left_logical_payload_bytes,right_logical_payload_bytes,payload_ratio,histogram_tv,log_payload_wasserstein,left_ops_json,right_ops_json
decode,2,8,8192,128,qwen3-8b,qwen3-30b-a3b,9271,12319,1.3287671232876712,607584256,403668992,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,8,8192,128,deepseek-v2-lite,qwen3-30b-a3b,6985,12319,1.7636363636363637,228884480,403668992,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,8,8192,512,qwen3-8b,deepseek-v2-lite,37303,28105,1.3272727272727274,2444689408,920944640,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,8,8192,512,qwen3-8b,qwen3-30b-a3b,37303,49567,1.3287671232876712,2444689408,1624211456,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,8,8192,512,deepseek-v2-lite,qwen3-30b-a3b,28105,49567,1.7636363636363637,920944640,1624211456,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,16,128,32,qwen3-8b,deepseek-v2-lite,2263,1705,1.3272727272727274,296615936,111738880,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,16,128,32,qwen3-8b,qwen3-30b-a3b,2263,3007,1.3287671232876712,296615936,197066752,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,16,128,32,deepseek-v2-lite,qwen3-30b-a3b,1705,3007,1.7636363636363637,111738880,197066752,1.7636363636363637,0.979381443298969,0.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
decode,2,16,128,128,qwen3-8b,deepseek-v2-lite,9271,6985,1.3272727272727274,1215168512,457768960,2.6545454545454548,1.0,1.0,"[""all_reduce""]","[""all_reduce""]"
decode,2,16,128,128,qwen3-8b,qwen3-30b-a3b,9271,12319,1.3287671232876712,1215168512,807337984,1.5051546391752577,1.0,1.0,"[""all_reduce""]","[""all_reduce"",""fused_allreduce_residual_rmsnorm""]"
