round,stage,candidate_id,family,duration_seconds,oof_target,oof_protection,violation_score,oof_score,oof_calls_histogram_wape,oof_bytes_histogram_wape,selected
13,blend,p59_r013_blend_0,oof_blend,0.0,False,True,2.434773283433314,0.12665486873971146,0.20331129732579367,0.1875905394499756,False
13,blend,p59_r013_blend_1,oof_blend,0.0,False,True,2.4090432984384575,0.12488667342894795,0.2007114868621352,0.1845221289215483,False
13,blend,p59_r013_blend_2,oof_blend,0.0,False,True,2.4412524654248875,0.1252526673648752,0.20170223434464235,0.18437600180067854,False
13,blend,p59_r013_blend_3,oof_blend,0.0,False,True,2.388056695165055,0.12387721204603785,0.19923183866698066,0.18276660319339874,False
14,train,p59_r014_train_0,metric_shape_mlp,183.9289757500228,False,True,2.4945777082552483,0.12723355985104015,0.2044573886001726,0.18800835807732333,False
14,train,p59_r014_train_1,metric_shape_mlp,193.2383359580126,False,True,2.826948102972443,0.13205031452554697,0.21629347643606497,0.18860131423876694,False
14,train,p59_r014_train_2,metric_shape_mlp,169.03441466699587,False,True,2.6627297132432903,0.13343327497118332,0.21491585408803304,0.1967354247251812,False
14,train,p59_r014_train_3,metric_shape_mlp,165.82696174999,False,True,2.902787757564557,0.13590399619868612,0.22178253569030132,0.19552881987031767,False
14,blend,p59_r014_blend_0,oof_blend,0.0,False,True,2.4400207618259264,0.1251433789979499,0.20153782392612168,0.18421496562798542,False
14,blend,p59_r014_blend_1,oof_blend,0.0,False,True,2.451676058962276,0.12567583020278456,0.20238515586539627,0.18507487526253566,False
14,blend,p59_r014_blend_2,oof_blend,0.0,False,True,2.526624881707302,0.1286851849183229,0.20714766789359162,0.18982053970374385,False
14,blend,p59_r014_blend_3,oof_blend,0.0,False,True,2.452690150107439,0.12421129139100974,0.20063378011847519,0.18190261542710612,False
15,train,p59_r015_train_0,metric_shape_mlp,200.11855654098326,False,True,2.509609629612477,0.12907205579473735,0.20767865839024327,0.19034262043737962,False
15,train,p59_r015_train_1,metric_shape_mlp,163.61326004200964,False,True,2.6203436294227718,0.13093784904199887,0.2105421534006985,0.19348668706622327,False
15,train,p59_r015_train_2,metric_shape_mlp,147.33949433400994,False,True,2.543457565128356,0.12937396568160078,0.20813041312433206,0.1908833228964666,False
15,train,p59_r015_train_3,metric_shape_mlp,221.60595470800763,False,True,2.571313882613646,0.12915099661396456,0.20727352009113112,0.1915484346065993,False
15,blend,p59_r015_blend_0,oof_blend,0.0,False,True,2.4462916144153812,0.12622008497682013,0.2028193136467536,0.18651318890919993,False
